name,ly_galactic_x,ly_galactic_y,ly_galactic_z
Gliese & Jahreiss (GJ) 1262,42.2,-29.7,-42.3
Gliese (Gl) 826.2,61.0,-7.4,-63.0
Gamma Pavonis,19.34,-12.0,-19.63
Gliese (Gl) 827.1,50.9,-18.7,-52.7
Gliese (Gl) 828.1,28.0,44.0,-33.0
Gliese (Gl) 828.2,28.6,30.3,-32.7
Henry Draper (HD) 204521,-24.4,77.6,20.7
Gliese (Gl) 828.4,57.8,118.0,-70.9
Gliese (Gl) 81.2,11.5,-34.8,-52.8
Gliese (Gl) 828.5,-21.7,60.4,18.7
Gliese (Gl) 829,6.82,18.9,-8.93
Gliese (Gl) 830,33.6,28.7,-38.9
Bonner Durchmusterung (BD) +22°4409,20.0,74.0,-28.4
Henry Draper (HD) 204848,30.8,29.8,-36.4
Gliese (Gl) 832,10.81,-2.035,-11.76
Gliese (Gl) 833,31.9,-7.63,-35.2
Gliese (Gl) 835,7.51,40.0,-13.5
Nu Octantis,39.2,-40.2,-40.2
Bonner Durchmusterung (BD) +52°2996,-11.3,98.1,0.95
Gliese (Gl) 81.3,6.84,-39.1,-76.2
Gliese (Gl) 836.1,51.7,20.6,-62.1
Gamma Capricorni,78.5,58.4,-98.6
Gliese (Gl) 836.3,49.9,0.64,-58.6
Gliese (Gl) 836.5,9.99,36.2,-16.4
Rob 526,24.0,46.0,-34.0
HN Pegasi,17.6,49.7,-28.7
Gliese (Gl) 836.8,0.069,65.4,-10.2
Delta Capricorni,20.8,16.4,-28.0
AY Indi,30.9,-26.6,-33.2
Woolley (Wo) 9754,49.0,1.66,-60.0
Gliese & Jahreiss (GJ) 1002,-0.26,5.81,-14.2
Gliese (Gl) 82,-27.6,31.0,-2.31
Gliese (Gl) 838,32.6,-5.14,-38.9
Henry Draper (HD) 207687,26.0,28.0,-38.0
Woolley (Wo) 9758,-41.9,104.0,32.9
Gliese (Gl) 838.2,45.8,76.5,-72.0
Rob 299,19.0,37.0,-30.0
Gliese (Gl) 838.4,31.0,56.0,-51.0
Henry Draper (HD) 207992,0.15,128.0,-25.4
15 pegasi,10.9,84.2,-30.4
Mu Capricorni,45.4,41.8,-65.8
Eggen/Greenstein white dwarf (EG) 151,27.0,41.0,-41.0
Gliese (Gl) 82.1,-54.1,46.3,-36.5
Gliese (Gl) 838.6,30.8,-4.82,-38.2
Gliese (Gl) 839,-1.88,74.6,-13.0
Gliese (Gl) 840,5.05,63.1,-19.7
Luyten Half-Second (LHS) 516,18.1,27.3,-28.7
Gliese (Gl) 842,23.6,-12.2,-28.2
Cordoba Durchmusterung (CD) -61°6651,46.0,-25.3,-54.6
Gliese (Gl) 842.2,-25.4,60.1,19.3
Gliese (Gl) 844,11.8,44.7,-27.0
Epsilon Indi,7.159,-3.158,-8.868
Gliese (Gl) 846,12.1,22.5,-21.9
Alpha Hydri,13.7,-39.7,-57.6
Bonner Durchmusterung (BD) -12°6174,31.0,34.0,-53.0
Gliese (Gl) 847.1,58.4,-7.43,-78.9
Iota Pegasi,4.325,34.65,-15.84
Alpha Gruis,60.0,-10.5,-81.1
<B>Source for orbit data:</B> Marcy & Butler,28.2,37.6,-51.1
Gliese (Gl) 849,10.9,16.7,-20.5
Tau Piscis Austrini,33.6,8.74,-50.3
Eggen/Greenstein white dwarf (EG) 302,18.3,66.6,-44.5
Theta Pegasi,27.9,69.7,-60.8
Henry Draper (HD) 210460,9.0,48.0,-28.0
Gliese (Gl) 83.1,-8.48,5.37,-10.6
Gliese (Gl) 850,-0.91,70.2,-20.5
Gliese (Gl) 851,6.27,31.6,-18.9
Wolf 1018,23.0,56.0,-51.0
Gliese (Gl) 851.2,40.8,-0.79,-59.5
Gliese (Gl) 851.3,18.0,16.0,-31.0
Gliese (Gl) 851.4,-66.3,284.0,3.09
Gliese (Gl) 851.5,4.1,59.0,-25.7
23 Cephei,-19.2,81.7,0.68
Henry Draper (HD) 211369,47.4,-11.3,-67.0
Gliese (Gl) 854,-25.9,72.6,13.3
Henry Draper (HD) 12545,-445.0,378.0,-267.0
Gamma Aquarii,49.5,97.4,-114.0
Gliese & Jahreiss (GJ) 1267,24.8,-10.4,-34.4
Gliese (Gl) 855,35.8,-17.9,-49.0
Gliese (Gl) 857,37.7,-19.6,-51.6
Gliese (Gl) 862,24.2,8.64,-43.3
Gliese (Gl) 862.1,26.7,44.7,-64.9
Gliese (Gl) 863,7.46,30.8,-27.2
Woolley (Wo) 9787,51.3,8.0,-90.5
Upsilon Aquarii,30.4,23.7,-63.4
Gliese (Gl) 863.3,56.7,-26.0,-84.8
Henry Draper (HD) 12786,-30.0,-1.71,-77.7
Gliese (Gl) 864,13.9,36.1,-42.1
Bonner Durchmusterung (BD) +38°4818,-7.26,58.6,-17.5
Gliese (Gl) 868,19.5,7.37,-38.9
Gliese (Gl) 869,39.4,11.2,-76.8
Gliese & Jahreiss (GJ) 1271,4.72,56.1,-40.2
Henry Draper (HD) 215152,19.3,37.0,-56.5
Lambda Pegasi,0.12,338.0,-204.0
Gliese (Gl) 871.2,-22.9,93.6,-13.1
EV Lacertae,-3.09,15.7,-3.71
Epsilon Gruis,65.4,-26.2,-109.0
Gliese (Gl) 84,-9.4,-1.29,-26.0
Gliese & Jahreiss (GJ) 1273,0.69,52.5,-33.0
Woolley (Wo) 9797,42.6,-3.63,-80.2
Mu Pegasi,-2.45,100.0,-59.4
Gliese (Gl) 875,11.7,23.2,-37.5
Gliese & Jahreiss (GJ) 1275,-4.12,60.4,-30.0
Woolley (Wo) 9798,4.84,52.5,-43.9
GT Pegasi,-4.26,42.0,-19.3
Bonner Durchmusterung (BD) +22°4725,-1.51,75.2,-46.8
<B>Source for orbit data:</B> http://cfa-www.harvard.edu/planets/cat1.html,4.593,6.123,-13.29
Tau(1) Gruis,52.6,-17.5,-93.3
Alpha Arietis,-43.9,30.5,-38.5
Gliese & Jahreiss (GJ) 1276,6.61,13.3,-21.6
Gliese (Gl) 877,14.4,-16.0,-18.0
TW Piscis Austrini,10.01,2.968,-22.61
Gliese (Gl) 880,0.647,17.61,-13.91
Fomalhaut,9.693,3.755,-22.82
51 Pegasi,-0.6,41.1,-28.6
Gliese (Gl) 883,21.8,37.4,-74.4
Gliese (Gl) 884,8.844,6.952,-24.06
Pi Piscis Austrini,37.0,5.46,-85.4
Rob 115,-22.0,12.0,-26.0
Gliese & Jahreiss (GJ) 1278,-25.3,59.8,7.08
Gliese (Gl) 887,4.248,0.404,-9.847
Woolley (Wo) 9808,-38.5,88.0,13.0
Woolley (Wo) 9809,-27.0,69.0,4.4
Gliese (Gl) 889.1,5.22,31.8,-39.6
Gliese (Gl) 890,18.1,25.8,-63.9
Gliese & Jahreiss (GJ) 1279,24.3,-23.1,-35.9
Luyten Two-Tenth (LTT) 9378,14.2,53.7,-80.3
Gliese & Jahreiss (GJ) 1280,33.6,-33.0,-48.9
Gliese (Gl) 891,16.4,9.95,-47.4
Gliese & Jahreiss (GJ) 1042,-39.0,34.0,-19.0
7 Andromedae,-23.4,75.1,-14.2
Gliese (Gl) 892,-7.368,19.94,-1.134
Henry Draper (HD) 219048,29.6,-30.5,-42.8
Gliese (Gl) 893.1,14.0,39.0,-68.0
Henry Draper (HD) 219538,-12.7,68.6,-36.9
Gliese & Jahreiss (GJ) 1282,31.7,-26.2,-53.0
Gliese (Gl) 893.4,-5.3,60.0,-47.0
Bonner Durchmusterung (BD) +4°4988,4.18,54.8,-65.7
Henry Draper (HD) 219623,-21.7,62.0,-7.97
Gamma Tucanae,33.1,-24.0,-59.0
Woolley (Wo) 9003,11.4,14.4,-104.0
<B>Source for orbit data:</B> Queloz et al. (2000),1.494,-16.67,-31.42
Gliese (Gl) 894,41.9,-8.48,-97.2
Bonner Durchmusterung (BD) +8°5036,1.45,82.8,-88.2
Phi Gruis,43.6,-6.57,-104.0
Viln 82 no 35,3.5,43.0,-51.0
Woolley (Wo) 9819,59.1,-43.3,-106.0
Gliese (Gl) 894.1,-22.6,73.6,-18.5
Gamma Sculptoris,60.0,13.6,-168.0
Gliese & Jahreiss (GJ) 1283,29.2,-23.2,-50.5
Woolley (Wo) 9822,-16.4,88.3,-51.5
Gliese (Gl) 894.4,-20.0,65.8,-19.4
Gliese (Gl) 87,-21.1,8.01,-30.1
Viln 82 no 55,10.3,26.0,-57.0
Gliese (Gl) 895,-16.0,39.6,-2.18
Gliese (Gl) 895.1,38.7,-14.3,-90.2
Gliese & Jahreiss (GJ) 2155,-1.06,51.1,-57.9
Woolley (Wo) 9827,7.45,57.6,-90.6
ZZ Piscis,0.87,27.6,-35.3
Gliese (Gl) 895.3,33.7,-14.9,-78.8
Gliese & Jahreiss (GJ) 1284,10.0,12.0,-46.0
Henry Draper (HD) 221239,-18.0,71.7,-39.3
Gliese (Gl) 895.4,-21.6,50.5,-1.87
Eta Arietis,-66.1,41.6,-59.6
Viln 82 no 70,6.49,42.0,-74.3
Henry Draper (HD) 221420,22.0,-28.0,-29.0
This star may be orbiting the Gliese 897 system.,7.96,13.8,-42.6
Woolley (Wo) 9830,-32.8,97.4,-32.7
According to Freming et al. in 1988,0.92,35.2,-52.2
Gliese & Jahreiss (GJ) 1286,1.41,12.0,-20.2
Gliese (Gl) 900.1,43.7,-20.8,-107.0
Henry Draper (HD) 221851,-17.4,64.7,-36.9
Giclas white Dwarf (GD) 1192,12.0,22.0,-68.0
Cape Photographic Durchmusterung (CPD) -49°11759,29.3,-15.8,-69.9
Mu Fornacis,-70.5,-79.1,-315.0
Lambda Andromedae,-28.4,76.4,-20.9
Henry Draper (HD) 222143,-25.4,68.4,-19.1
Cordoba Durchmusterung (CD) -42°16413,20.0,-5.68,-56.5
Giclas white Dwarf (GD) 1212,4.7,22.0,-47.0
Gliese (Gl) 902,17.28,-20.57,-25.7
Gliese & Jahreiss (GJ) 2157,-25.0,56.0,-2.6
Gliese (Gl) 902.1,16.4,2.64,-58.6
Gamma Cephei,-21.14,37.84,12.06
Iota Piscis,-1.72,27.0,-35.9
Gliese (Gl) 905,-3.382,9.291,-3.008
Gliese & Jahreiss (GJ) 1044,-23.0,-8.0,-65.0
Woolley (Wo) 9835,1.73,37.8,-66.9
Gliese (Gl) 906,-19.0,55.2,-26.8
Gliese (Gl) 907,-20.4,48.5,-11.5
Gliese (Gl) 908,-0.901,10.59,-16.31
Giclas (G) 130-15,-17.6,56.6,-36.2
Henry Draper (HD) 223498,-8.52,87.0,-132.0
Gliese (Gl) 908.1,-22.0,66.2,-41.2
Woolley (Wo) 9843,-61.5,107.0,33.9
Gliese (Gl) 909.1,1.31,48.8,-104.0
Gliese (Gl) 910,-19.8,58.7,-38.8
Gliese (Gl) 90,-50.2,57.5,8.62
Gliese (Gl) 911,10.9,15.4,-78.4
II Pegasi,-37.9,110.0,-74.2
Gliese (Gl) 912,0.08,24.0,-51.0
Henry Draper (HD) 224228,19.0,-5.81,-69.2
Henry Draper (HD) 224465,-32.4,70.2,-15.5
Gliese (Gl) 913,-22.3,49.9,-14.7
Gliese & Jahreiss (GJ) 1293,7.4,26.0,-100.0
Henry Draper (HD) 224936,101.0,-27.0,-422.0
Gliese (Gl) 915,7.25,-3.9,-24.1
Luyten Half-Second (LHS) 1017<BR><B>Proper motion:</B> 0.885 arcsec/yr (98.3&deg; from north),-15.7,33.3,-10.6
Gliese (Gl) 91,-6.0,-7.7,-28.0
At apastron,-30.4,58.6,-4.27
Luyten Half-Second (LHS) 1021<BR><B>Proper motion:</B> 0.592 arcsec/yr (93.9&deg; from north),25.6,-20.7,-76.9
A would appear as magnitude -14.29,-32.2,56.8,7.69
Luyten Palomar (LP) 12-304<BR><B>Right Ascension and Declination:</B> 0h10m48s,-26.0,43.0,16.0
A would appear as magnitude -18.81,0.23,4.01,-16.5
Luyten Half-Second (LHS) 1049,26.0,-34.0,-49.0
Luyten Half-Second (LHS) 108,-13.7,34.3,-33.5
GQ Andromedae,-5.056,9.829,-3.641
Giclas (G) 242-52,-25.8,42.3,12.7
V547 Cassiopeiae,-17.2,28.1,2.7
Giclas white Dwarf (GD) 25,-52.2,43.6,-25.0
Beta(3) Tucanae,52.2,-71.5,-123.0
13 Ceti,-11.6,25.4,-62.7
Henry Draper (HD) 3359,32.7,-40.9,-130.0
At apastron,0.7,3.2,-50.6
Giclas (G) 218-8,-39.1,63.7,-9.19
Vyssotsky McCormick (McC) 88B,-5.91,14.8,-109.0
Gliese (Gl) 32,7.58,-10.7,-50.6
Giclas (G) 267-170,17.0,-22.2,-161.0
Eta Cassiopeiae,-10.54,16.22,-1.619
Luyten Palomar (LP) 350-19<BR><B>Spectral class:</B> M,-20.0,30.0,-28.0
Gliese (Gl) 91.3,-46.3,40.0,-18.9
Luyten Half-Second (LHS) 1160,-1.91,2.9,-47.0
A would appear as magnitude -11.66,-33.0,51.0,6.6
Luyten Half-Second (LHS) 1181,-24.0,33.0,-38.0
Mu Cassiopeiae,-14.28,19.81,-3.248
Luyten Half-Second (LHS) 5028<BR><B>Spectral class:</B> M3,-32.6,40.9,-43.0
Luyten Half-Second (LHS) 1213<BR><B>Right Ascension and Declination:</B> 1h9m21s,-18.3,20.0,-42.6
37 Ceti,-20.7,17.5,-74.8
A would appear as magnitude -18.61,22.5,-39.8,-51.5
Kappa(1) Tucanae,22.0,-38.7,-49.6
Luyten Half-Second (LHS) 1229<BR><B>Right Ascension and Declination:</B> 1h16m5s,-30.5,27.4,-80.3
Delta Trianguli,-25.62,19.31,-14.92
Giclas (G) 132-72<BR><B>Right Ascension and Declination:</B> 1h17m11s,-78.0,97.0,-54.0
Giclas (G) 274-15,-10.2,-6.56,-101.0
Luyten Palomar (LP) 587-50,-17.2,14.7,-41.4
Giclas (G) 272-8,-24.0,12.7,-94.8
Giclas (G) 274-60,-10.3,-3.35,-62.7
At apastron,-9.02,-10.6,-75.9
P Eridani,4.33,-12.6,-23.0
Chi Ceti,-27.9,6.81,-71.5
Giclas (G) 244-36,-31.0,38.0,2.0
Chi Eridani,4.55,-25.7,-50.7
Gliese (Gl) 6,-39.8,89.0,-46.0
Gliese (Gl) 92.1,-56.0,56.0,-6.0
Giclas (G) 272-127,-42.3,8.52,-102.0
Luyten Palomar (LP) 589-9<BR><B>Spectral class:</B> M,-51.0,24.0,-79.0
Luyten Half-Second (LHS) 5048,-67.9,32.5,-106.0
A would appear as magnitude -19.26,-1.84,-63.6,-147.0
Giclas (G) 274-146,-15.8,-13.5,-70.5
A would appear as magnitude -13.07,-42.0,39.0,-16.0
Giclas (G) 159-35,-62.4,23.9,-100.0
66 Ceti,-77.1,20.2,-127.0
At apastron,-26.4,-6.07,-67.3
Luyten Half-Second (LHS) 1376,-9.78,-11.5,-44.0
Gliese (Gl) 95,-11.8,-7.96,-38.83
Luyten Palomar (LP) 245-18<BR><B>Spectral class:</B> M,-59.0,47.0,-30.0
Luyten Half-Second (LHS) 1392,-51.4,39.9,-27.1
At apastron,-33.2,9.76,-41.6
A would appear as magnitude -20.49,-63.1,42.0,-36.7
Luyten Half-Second (LHS) 1408,-22.9,-8.52,-56.6
Luyten Palomar (LP) 298-98,-61.0,38.0,-35.0
Giclas (G) 73-71,-15.2,4.512,-17.37
Epsilon Ceti,-44.0,-5.81,-76.2
Gamma Ceti,-52.3,10.6,-62.3
Theta Persei,-28.34,22.47,-5.846
Henry Draper (HD) 14629,-10.7,-29.7,-76.8
Giclas (G) 78-3,-55.0,41.0,-16.0
Luyten Palomar (LP) 354-414<BR><B>Right Ascension and Declination:</B> 2h45m12s,-56.7,29.3,-35.3
Gliese (Gl) 114.1,0.14,-23.9,-35.3
Luyten Half-Second (LHS) 1467,-22.7,-38.2,-85.6
Giclas (G) 36-43,-59.3,28.4,-35.4
Catalogue Astrographique (AC) +55°19225,-55.8,46.6,-4.07
Henry Draper (HD) 18445,-28.7,-20.5,-64.3
Luyten Palomar (LP) 771-96<BR><B>Spectral class:</B> M3,-12.0,-4.6,-21.0
Giclas (G) 246-22,-55.4,49.8,3.69
Luyten Palomar (LP) 711-44<BR><B>Right Ascension and Declination:</B> 3h1m24s,-37.0,-9.7,-56.0
Gliese (Gl) 96,-27.6,24.3,-7.72
A would appear as magnitude -14.48,-67.0,40.0,-22.0
Luyten Two-Tenth (LTT) 1477<BR><B>Right Ascension and Declination:</B> 3h5m47s,-22.8,-21.4,-53.9
Alpha Fornacis,-17.14,-16.82,-39.27
Eggen/Greenstein white dwarf (EG) 21,7.7,-27.0,-27.0
94 Ceti,-50.0,-1.67,-53.1
Luyten Half-Second (LHS) 1523,-35.9,29.0,0.4
Giclas (G) 79-30<BR><B>Right Ascension and Declination:</B> 3h17m59s,-128.0,15.3,-104.0
Luyten Palomar (LP) 355-65<BR><B>Right Ascension and Declination:</B> 3h19m48s,-62.0,23.0,-30.0
Gliese & Jahreiss (GJ) 2030,-77.9,-16.7,-90.3
Luyten (L) 1307-14<BR><B>Right Ascension and Declination:</B> 3h21m16s,-46.0,15.0,-25.0
Woolley (Wo) 9079,-23.2,-26.2,-94.0
Cordoba Durchmusterung (CD) -50°1014<BR><B>Right Ascension and Declination:</B> 3h21m42s,-5.6,-39.0,-52.0
Luyten Palomar (LP) 772-73,-43.0,-19.0,-60.0
Luyten Half-Second (LHS) 1550<BR><B>Right Ascension and Declination:</B> 3h26m45s,-24.0,-22.0,-46.0
YPC 727.01<BR><B>Proper motion:</B> 0.176 arcsec/yr (108.9&deg; from north),-129.0,30.3,-72.0
Kappa Reticuli,7.07,-48.1,-50.2
Luyten Palomar (LP) 413-19<BR><B>Right Ascension and Declination:</B> 3h34m42s,-65.0,12.0,-38.0
A would appear as magnitude -11.63,-145.0,56.2,-48.8
Luyten Palomar (LP) 832-45<BR><B>Right Ascension and Declination:</B> 3h40m38s,-41.0,-33.0,-66.2
Catalogue Astrographique (AC) +17°449-111,-48.4,7.09,-27.6
Bonner Durchmusterung (BD) -7°410,-41.0,4.1,-71.0
Giclas (G) 221-24,-41.4,37.1,11.3
At apastron,-31.9,-31.1,-55.3
Luyten Half-Second (LHS) 181,-71.1,33.4,-14.3
Gliese (Gl) 156.1,-52.0,32.0,0.1
At apastron,-39.9,-7.8,-31.5
DY Eridani,-12.13,-4.593,-10.13
A would appear as magnitude -4.66,-68.0,-7.9,-36.0
Smithsonian Astrophysical Observatory (SAO) 233505<BR><B>Right Ascension and Declination:</B> 4h23m13s,-3.53,-65.3,-59.4
Catalogue Astrographique (AC) +58°25002,-15.2,9.33,2.44
Kappa Fornacis,-22.9,-12.5,-66.6
Aldebaran,-61.3,-1.44,-21.9
Giclas (G) 39-27,-56.2,7.41,-13.4
53 Eridani,-76.0,-46.6,-63.2
Giclas (G) 83-29<BR><B>Right Ascension and Declination:</B> 4h36m59s,-84.3,-10.8,-36.9
Alpha Caeli,-20.1,-45.2,-43.2
At apastron,-2.11,-77.7,-64.4
Bruce Proper Motion (BPM) 17965<BR><B>Apparent visual magnitude:</B> +12.15,-2.7,-27.0,-21.0
Giclas (G) 97-7<BR><B>Right Ascension and Declination:</B> 4h53m15s,-105.0,-26.9,-45.9
Delta Hydri,33.3,-86.9,-98.2
At apastron,-17.5,-15.6,-14.9
Cape Photographic Durchmusterung (CPD) -56°768,-5.65,-57.5,-44.0
9 Aurigae,-78.3,32.6,10.5
104 Tauri,-50.4,-3.7,-11.1
Steph 545<BR><B>Apparent visual magnitude:</B> +11.66,-25.0,-22.0,-21.0
Capella H,-40.2,12.4,3.37
Giclas (G) 191-29,-72.3,38.1,17.7
Luyten Half-Second (LHS) 1755<BR><B>Spectral class:</B> M2,-46.4,-21.8,-20.0
A would appear as magnitude -13.75,-41.9,-39.8,-32.1
Giclas (G) 102-4<BR><B>Right Ascension and Declination:</B> 5h26m8s,-90.3,-19.2,-19.5
Woolley (Wo) 9082,-56.3,18.4,-69.0
Luyten Palomar (LP) 417-212<BR><B>Right Ascension and Declination:</B> 5h26m34s,-55.1,-9.13,-10.1
Luyten Two-Tenth (LTT) 11677<BR><B>Right Ascension and Declination:</B> 5h31m30s,-61.0,-16.0,-13.0
Luyten Half-Second (LHS) 1771,-21.3,-67.1,-42.8
Gamma Leporis,-18.27,-19.56,-11.81
Giclas (G) 192-12<BR><B>Right Ascension and Declination:</B> 5h55m32s,-37.0,17.0,12.0
Giclas (G) 249-27,-51.0,34.7,23.1
Luyten Palomar (LP) 659-4<BR><B>Right Ascension and Declination:</B> 5h55m49s,-63.0,-37.8,-18.2
((A-B)-C) would appear as magnitude -13.89,-25.0,-38.0,-20.0
Gliese (Gl) 99.1,-74.8,47.8,-47.0
A would appear as magnitude -14.09,-33.1,-11.7,-2.18
Giclas (G) 106-36<BR><B>Right Ascension and Declination:</B> 6h14m32s,-57.1,-26.0,-5.75
Luyten Two-Tenth (LTT) 2511,-2.1,-66.0,-34.0
A would appear as magnitude -19.25,-46.4,-11.4,3.08
Luyten Two-Tenth (LTT) 2559<BR><B>Spectral class:</B> K7,-54.7,-76.0,-27.0
V577 Monoceri,-11.21,-7.351,-1.326
A would appear as magnitude -18.62,1.42,-64.0,-30.0
Giclas (G) 108-22<BR><B>Right Ascension and Declination:</B> 6h39m36s,-45.0,-24.0,-0.4
A would appear as magnitude -12.86,-56.8,15.6,21.1
Giclas (G) 87-4,-79.2,-3.98,18.6
Beta Cassiopeiae,-25.46,48.05,-2.904
Gliese (Gl) 100.1,-44.8,13.7,-55.3
Giclas (G) 250-29,-29.6,13.8,14.4
Luyten Half-Second (LHS) 1876<BR><B>Right Ascension and Declination:</B> 6h49m52s,-22.45,-17.32,-1.073
38 Geminorum,-83.9,-33.7,11.5
Giclas (G) 107-38,-74.3,4.17,25.0
At apastron,-55.5,-125.0,-34.0
Gliese (Gl) 257,-6.68,-24.1,-7.77
Henry Draper (HD) 53706,-13.8,-49.0,-14.6
Gliese (Gl) 265A,-74.3,-12.8,21.1
Giclas (G) 87-29,-74.0,0.22,26.4
Lambda Geminorum,-85.3,-33.3,22.5
Woolley (Wo) 9083,-289.0,67.0,-372.0
At apastron,-9.3,-45.6,-12.6
Delta Geminorum,-54.1,-15.9,16.7
Rho Geminorum,-55.5,-7.29,22.6
Giclas (G) 107-70,-33.3,5.88,16.6
VV Lyncis,-36.0,-1.75,15.6
Giclas (G) 88-35,-72.0,-28.0,23.0
A would appear as magnitude -13.82,-67.7,-69.8,9.07
YY Geminorum,-47.2,-6.19,19.7
Luyten Palomar (LP) 256-44<BR><B>Right Ascension and Declination:</B> 7h36m23s,-112.0,-12.1,50.2
Procyon,-9.179,-6.22,2.674
29 Arietis,-65.3,27.9,-61.0
Bonner Durchmusterung (BD) -3°2002,-34.1,-30.5,7.33
Luyten Half-Second (LHS) 234<BR><B>Spectral class:</B> M,-17.1,-23.5,1.26
VB 3<BR><B>Right Ascension and Declination:</B> 7h43m51s,-17.76,-46.11,-4.031
Luyten Half-Second (LHS) 239,-44.7,-29.2,15.7
Luyten Half-Second (LHS) 1952,-21.4,-17.9,6.65
9 Puppis,-32.7,-42.9,6.66
A would appear as magnitude -19.14,-19.51,-55.33,-3.711
A would appear as magnitude -13.68,-17.0,-37.0,-0.5
A would appear as magnitude -15.45,-41.8,-35.5,15.4
A would appear as magnitude -5.94,-56.7,-27.7,25.1
Luyten Half-Second (LHS) 1415,-22.5,-3.68,-45.0
Luyten Half-Second (LHS) 1960,3.006,-50.76,-14.26
Luyten Half-Second (LHS) 1971,-60.0,-47.0,24.0
A would appear as magnitude -12.34,-92.1,-65.4,42.7
Luyten Half-Second (LHS) 5134,-46.8,-18.3,24.4
A would appear as magnitude -11.22,-58.0,-8.98,33.5
18 Puppis,-41.8,-58.7,13.5
At apastron,-39.2,-57.0,14.0
Henry Draper (HD) 69565,-12.0,-44.0,-0.1
At apastron,-79.0,-10.0,54.0
CU Cancri,-32.5,-15.4,21.2
Henry Draper (HD) 15833,-53.0,17.0,-60.0
Giclas (G) 113-43,-40.0,-49.0,22.0
Henry Draper (HD) 72946,-59.5,-49.3,38.9
At apastron,-25.5,-58.3,13.1
Luyten Palomar (LP) 485-38<BR><B>Spectral class:</B> M,-57.0,-44.0,38.0
Giclas (G) 46-2,-34.1,-25.7,23.7
Luyten (L) 387-60<BR><B>Right Ascension and Declination:</B> 8h40m22s,-9.49,-72.3,-0.59
Delta Velorum,2.876,-79.03,-10.21
At apastron,-69.0,-58.0,53.0
Rho(1) Cancri,-30.9,-9.36,25.0
Luyten Half-Second (LHS) 257<BR><B>Proper motion:</B> 1.407 arcsec/yr (254.1&deg; from north),-23.9,17.9,21.7
Gliese (Gl) 102,-23.4,13.2,-17.1
Luyten Half-Second (LHS) 2070,-22.0,-39.0,16.0
Luyten Half-Second (LHS) 2077,-12.2,-6.34,10.1
Iota Ursae Majoris,-35.4,5.15,31.6
10 Ursae Majoris,-40.0,-0.068,35.7
Giclas (G) 46-16,-48.0,-46.0,40.0
A would appear as magnitude -13.56,-40.8,-26.5,34.7
Sigma(2) Ursae Majoris,-43.7,28.5,41.6
Woolley (Wo) 9287,-40.6,-135.0,37.4
Luyten (L) 317-2<BR><B>Spectral class:</B> K0,-8.8,-257.0,9.0
Pi(1) Cancri,-42.8,-30.2,41.5
CC Eridani,-3.613,-16.52,-33.52
Henry Draper (HD) 79211,-14.1,3.76,13.7
At apastron,-52.0,51.4,50.3
A would appear as magnitude -19.31,-33.7,-36.5,33.8
At apastron,-39.1,-13.2,39.5
Luyten Palomar (LP) 313-38<BR><B>Right Ascension and Declination:</B> 9h15m46s,-45.0,-17.0,44.0
Giclas (G) 115-69<BR><B>Right Ascension and Declination:</B> 9h16m12s,-46.6,-3.6,46.2
(A-B) would appear as magnitude -14.91,28.7,-102.0,-25.6
A would appear as magnitude -22.76,-43.9,-75.5,52.5
Giclas (G) 161-34,-23.2,-41.1,27.4
Tau(1) Hydrae,-26.0,-38.9,30.3
Henry Draper (HD) 16348,21.0,-50.0,-49.8
Luyten Palomar (LP) 902-30<BR><B>Proper motion:</B> 0.393 arcsec/yr (349.0&deg; from north),-9.25,-60.5,15.3
Psi Velorum,-2.91,-59.9,8.43
At apastron,-11.9,-28.2,15.6
Theta Ursae Majoris,-29.47,7.573,31.76
Luyten Palomar (LP) 314-20<BR><B>Right Ascension and Declination:</B> 9h29m54s,-37.4,-14.5,41.7
11 Leonis Minoris,-23.91,-3.735,27.27
Theta Antliae,-9.8,-58.0,21.0
A would appear as magnitude -17.91,11.2,-84.8,1.29
Gliese & Jahreiss (GJ) 1130,-7.2,-79.4,25.2
Giclas (G) 116-73<BR><B>Right Ascension and Declination:</B> 9h56m15s,-45.0,3.5,57.0
Woolley (Wo) 9085,-66.6,6.43,-96.2
A would appear as magnitude -15.34,-38.4,38.4,43.0
Gliese (Gl) 379.1,0.36,-96.1,28.3
B would appear as magnitude -12.05,17.5,-131.0,17.0
39 Leonis,-35.7,-21.9,61.1
Luyten Half-Second (LHS) 2254,17.3,-63.0,-2.83
Giclas (G) 196-23,-36.0,11.0,52.0
Luyten Half-Second (LHS) 2267<BR><B>Spectral class:</B> M,-42.1,11.2,63.3
Luyten Palomar (LP) 92-176<BR><B>Right Ascension and Declination:</B> 10h28m17s,-31.8,16.4,44.4
Vyssotsky McCormick (McC) 583C<BR><B>Spectral class:</B> M,-5.4,-65.0,39.0
Luyten Palomar (LP) 167-73<BR><B>Right Ascension and Declination:</B> 10h31m28s,-36.0,7.3,56.0
Catalogue Astrographique (AC) +19°1154-111,-34.2,16.8,-28.0
Bruce Proper Motion (BPM) 54257<BR><B>Apparent visual magnitude:</B> +11.67,5.61,-50.0,17.6
Luyten Palomar (LP) 316-605<BR><B>Right Ascension and Declination:</B> 10h42m8s,-34.0,-8.6,66.0
A would appear as magnitude -18.05,-21.6,-0.66,40.6
Luyten Half-Second (LHS) 290<BR><B>Spectral class:</B> DQ9,-1.9,-35.0,24.0
