name,ly_galactic_x,ly_galactic_y,ly_galactic_z
Gliese (Gl) 611.3,64.0,24.0,57.0
Gliese (Gl) 612,24.7,45.3,56.6
Gliese (Gl) 56.5,-30.46,43.58,13.49
Gliese (Gl) 612.1,25.0,36.0,48.0
Bonner Durchmusterung (BD) +47°2298,21.8,78.2,86.6
Gliese (Gl) 613,39.7,-24.6,-3.24
14 Herculis,14.6,37.9,43.1
Gliese & Jahreiss (GJ) 1199,39.7,20.1,39.3
Gliese (Gl) 615,37.8,-23.8,-4.04
Henry Draper (HD) 145809,76.0,-8.3,29.0
18 Scorpii,40.0,3.54,21.9
Giclas (G) 180-45,30.0,47.0,57.0
Woolley (Wo) 9551,-25.4,101.0,81.7
Henry Draper (HD) 8357,-63.5,58.2,-120.0
Epsilon Ophiuchi,91.8,14.4,54.1
CR Draconis,4.53,48.6,46.5
Woolley (Wo) 9553,128.0,-24.0,34.6
Gamma(2) Normae,114.0,-56.6,-1.11
Gliese (Gl) 618.1,84.4,14.4,49.5
Gliese (Gl) 618.4,72.1,-33.6,0.32
Gliese (Gl) 619,15.7,33.3,36.6
Sigma Serpentis,72.6,19.5,48.1
Gliese (Gl) 620,52.1,-6.67,15.7
Gliese (Gl) 621,64.3,2.14,28.1
Woolley (Wo) 9056,-55.3,55.8,-73.9
Gliese (Gl) 622,55.3,-4.63,18.2
Gliese (Gl) 623,4.9,18.28,18.16
Zeta Trianguli Australis,29.11,-24.63,-10.21
Gliese (Gl) 625,1.922,15.67,14.54
Gliese & Jahreiss (GJ) 1201,54.3,24.5,43.3
Gliese (Gl) 626,44.0,18.2,32.8
Gamma Apodis,101.0,-109.0,-56.8
Henry Draper (HD) 148555,43.0,41.0,52.0
Gliese (Gl) 626.2,19.0,31.7,35.1
Gliese & Jahreiss (GJ) 2121,67.0,2.3,27.0
Luyten Half-Second (LHS) 6,-22.0,20.0,-38.0
Gliese (Gl) 628,12.77,0.829,5.451
Gliese (Gl) 629,76.5,-23.2,8.02
Luyten (L) 8-61,42.0,-58.0,-35.0
Woolley (Wo) 9566,112.0,38.5,72.5
Gliese (Gl) 630,53.0,74.4,80.6
Giclas (G) 180-63,13.5,33.5,33.2
12 Ophiuchi,27.37,6.84,14.88
Gliese (Gl) 632,-29.1,68.7,48.1
Gliese (Gl) 632.1,39.2,49.7,54.5
Gliese (Gl) 632.3,135.0,54.8,88.8
Gliese & Jahreiss (GJ) 1039,-7.23,-3.59,-59.9
Woolley (Wo) 9572,98.0,40.1,63.8
Gliese (Gl) 634.1,83.6,21.2,43.0
Woolley (Wo) 9574,372.0,7.73,120.0
Henry Draper (HD) 150474,63.0,-16.0,5.9
Gliese & Jahreiss (GJ) 1205,7.32,50.9,44.2
Gliese (Gl) 635.1,-130.0,323.0,225.0
Gliese (Gl) 637.1,-10.6,62.5,47.6
Gliese (Gl) 638,14.03,20.23,20.24
Woolley (Wo) 9577,90.0,-13.0,14.0
Woolley (Wo) 9578,5.25,67.1,55.4
Gliese (Gl) 58.2,-41.1,40.8,-48.5
Gliese (Gl) 638.1,53.0,-21.0,-2.4
Gliese (Gl) 639,40.9,70.6,66.6
DN Draconis,0.82,28.0,22.3
Bonner Durchmusterung (BD) +39°3048,26.1,50.8,46.8
Gliese (Gl) 640,56.7,44.3,49.4
Bonner Durchmusterung (BD) +47°2391,21.4,73.5,63.1
Bonner Durchmusterung (BD) +38°2847,37.0,67.9,62.4
Gliese (Gl) 641,47.2,16.0,23.8
Gliese (Gl) 642,45.9,27.4,31.9
