pl_hostname,pl_letter,pl_discmethod,pl_orbper,pl_orbsmax,pl_orbeccen,pl_masse,pl_massj,pl_radj,pl_radj,pl_dens,pl_orbincl,st_dist,st_vj,st_teff,st_mass,st_rad,hd_name,hip_name,st_bmvj,pl_rade,pl_disc
BD+20 2457,c,Radial Velocity,621.99,2.01,0.18,0,,,,,,200,,4137,2.8,49,,,,,2009
BD+20 274,b,Radial Velocity,578.2,1.3,0.21,1335.18,4.2,,,,,,,4296,0.8,17.3,,,,,2012
BD+48 738,b,Radial Velocity,392.6,1,0.2,0,,,,,,,,4414,0.74,11,,,,,2011
BD-08 2823,b,Radial Velocity,5.6,0.056,0.15,0,,,,,,42.2,9.88,4746,0.74,,,HIP 49067,0.999,,2009
BD-08 2823,c,Radial Velocity,237.6,0.68,0.19,0,,,,,,42.2,9.88,4746,0.74,,,HIP 49067,0.999,,2009
BD-10 3166,b,Radial Velocity,3.48777,0.0452,0.019,145.5982,0.458,,,,,,10.08,,,,,,0.84,,2000
BD-13 2130,b,Radial Velocity,714.3,2.1,0.21,0,,,,,,,9.767,,,,,,1.214,,2007
BD-17 63,b,Radial Velocity,655.6,1.34,0.54,0,,,,,,34.6,9.566,4714,0.74,0.69,,HIP 2247,1.165,,2008
BOKS-1,b,Transit,3.90512,0.0477,0,0,,1.11,1.11,,89.8,800,,5545,0.95,0.86,,,,12.442,2010
CT Cha,b,Imaging,,440,,5404.3,17,2.2,2.2,,,,,,,,,,,24.66,2008
CoRoT-1,b,Transit,1.5089557,0.0254,0,327.437,1.03,1.49,1.49,0.38,85.1,,,5950,0.95,1.11,,,,16.701,2007
CoRoT-10,b,Transit,13.2406,0.1055,0.53,874.225,2.75,0.97,0.97,3.7,88.55,345,,5075,0.89,0.79,,,,10.873,2010
CoRoT-11,b,Transit,2.99433,0.0436,0,740.707,2.33,1.43,1.43,0.99,83.17,560,,6440,1.27,1.37,,,,16.029,2010
CoRoT-12,b,Transit,2.828042,0.04016,0.07,291.5143,0.917,1.44,1.44,0.309,85.48,1150,,5675,1.08,1.12,,,,16.141,2010
CoRoT-13,b,Transit,4.03519,0.051,0,415.8132,1.308,0.885,0.885,2.34,88.02,1060,,5945,1.09,1.01,,,,9.92,2010
CoRoT-14,b,Transit,1.51215,,0,2409.682,7.58,1.09,1.09,7.3,79.6,1340,,6035,1.13,1.21,,,,12.218,2010
CoRoT-16,b,Transit,5.35227,0.0618,0.33,170.0765,0.535,1.17,1.17,0.44,85.01,840,,5650,1.1,1.19,,,,13.114,2012
CoRoT-17,b,Transit,3.7681,0.0461,0,772.497,2.43,1.02,1.02,2.82,88.34,920,,5740,1.04,1.59,,,,11.433,2011
CoRoT-18,b,Transit,1.9000693,0.0295,0.08,1103.113,3.47,1.31,1.31,2.2,86.5,870,,5440,0.95,1,,,,14.684,2011
CoRoT-19,b,Transit,3.89713,0.0518,0.047,352.869,1.11,1.29,1.29,0.71,88,770,,6090,1.21,1.65,,,,14.46,2011
CoRoT-2,b,Transit,1.7429964,0.0281,0,1052.249,3.31,1.465,1.465,1.31,87.84,,,5625,0.97,0.9,,,,16.421,2007
CoRoT-20,b,Transit,9.2,0.0902,0.562,1347.896,4.24,0.84,0.84,,88.21,1230,,5880,1.14,1.02,,,,9.42,2011
CoRoT-23,b,Transit,3.6313,0.048,0.16,890.12,2.8,1.05,1.05,,85.7,600,,5900,1.14,1.61,,,,11.77,2011
CoRoT-3,b,Transit,4.2568,0.057,0,6885.714,21.66,1.01,1.01,26.4,85.9,680,,6740,1.37,1.56,,,,11.321,2008
CoRoT-4,b,Transit,9.20205,0.09,0,228.888,0.72,1.19,1.19,0.525,90,,,6190,1.16,1.17,,,,13.339,2008
CoRoT-5,b,Transit,4.0378962,0.04947,0.09,148.4593,0.467,1.388,1.388,0.217,85.83,,,6100,1,1.19,,,,15.5,2008
CoRoT-6,b,Transit,8.886593,0.0855,0.1,940.984,2.96,1.166,1.166,2.32,89.07,,,6090,1.05,1.02,,,,13.068,2009
CoRoT-7,b,Transit,0.853585,0.0172,0,4.7685,0.015,0.15,0.15,5.6,80.1,150,,5275,0.93,0.87,,,,1.68,2009
CoRoT-7,c,Radial Velocity,3.698,0.046,0,0,,,,,,150,,5275,0.93,0.87,,,,,2009
CoRoT-8,b,Transit,6.21229,0.063,0,69.938,0.22,0.57,0.57,1.6,88.4,380,,5080,0.88,0.77,,,,6.389,2010
CoRoT-9,b,Transit,95.2738,0.407,0.11,267.036,0.84,1.05,1.05,0.9,89.99,460,,5625,0.99,0.94,,,,11.769,2010
DP Leo,b,Eclipse Timing Variations,8693,8.6,,1996.412,6.28,,,,,,,,,,,,,,2009
FU Tau,b,Imaging,,,,4768.5,15,,,,,,,,,,,,,,2009
Fomalhaut,b,Imaging,320000,115,0.13,953.7,3,,,,,7.69,1.16,,,,HD 216956,HIP 113368,0.09,,2008
GJ 1214,b,Transit,1.58040482,,0,6.358,0.02,0.244,0.244,1.68,90,13,14.68,2949,0.15,0.21,,,,2.74,2009
GJ 179,b,Radial Velocity,2288,2.41,0.21,0,,,,,,12.3,12,3370,0.36,0.38,,HIP 22627,1.52,,2010
GJ 3021,b,Radial Velocity,133.71,0.495,0.511,0,,,,,,17.62,6.582,5540,0.9,0.9,HD 1237,HIP 1292,0.77,,2000
GJ 317,b,Radial Velocity,692,1.15,0.11,0,,,,,45,15.1,11.97,3510,0.42,,,,1.5,,2007
GJ 317,c,Radial Velocity,10000,25,0.81,0,,,,,,15.1,11.97,3510,0.42,,,,1.5,,2007
GJ 3470,b,Transit,3.33714,0.0348,0.051,14.01939,0.0441,0.375,0.375,1.07,88.8,25.2,12.33,3600,0.54,0.5,,,,4.2,2012
GJ 3634,b,Radial Velocity,2.64561,0.0287,0.08,0,,,,,59,19.8,,,0.45,0.43,,,,,2011
GJ 433,b,Radial Velocity,7.3709,0.058,0.08,0,,,,,,9,9.806,3600,0.48,,,HIP 56528,1.513,,2009
GJ 436,b,Radial Velocity,2.64385,0.0285,0.16,23.42923,0.0737,0.365,0.365,2.008,86.36,10.2,10.65,3350,0.46,0.45,,HIP 57087,1.52,4.091,2004
GJ 581,b,Radial Velocity,5.36865,0.041,0.031,0,,,,,,6.21,10.56,,0.31,0.29,,HIP 74995,1.63,,2005
GJ 581,c,Radial Velocity,12.9182,0.073,0.07,0,,,,,,6.21,10.56,,0.31,0.29,,HIP 74995,1.63,,2007
GJ 581,d,Radial Velocity,66.64,0.22,0.25,0,,,,,,6.21,10.56,,0.31,0.29,,HIP 74995,1.63,,2007
GJ 581,e,Radial Velocity,3.14945,0.028,0.32,0,,,,,,6.21,10.56,,0.31,0.29,,HIP 74995,1.63,,2009
GJ 649,b,Radial Velocity,598.3,1.135,0.3,0,,,,,,10.34,9.69,3700,0.54,,,HIP 83043,1.5,,2009
GJ 667C,b,Radial Velocity,7.20066,0.049,0.172,0,,,,,,7.2,,3600,0.33,,,,,,2009
GJ 667C,c,Radial Velocity,28.155,0.123,0.27,0,,,,,,7.2,,3600,0.33,,,,,,2012
