pl_hostname,pl_letter,pl_discmethod,pl_orbper,pl_orbsmax,pl_orbeccen,pl_massj,pl_dens,pl_orbincl,st_dist,st_vj,st_teff,st_mass,st_rad,hd_name,hip_name,st_bmvj,pl_rade,pl_disc,pl_pelink
CoRoT-8,b,Transit,6.21229,0.063,0,0.22,1.6,88.4,380,,5080,0.88,0.77,,,,6.389,2010,http://exoplanet.eu/catalog/corot-8_b/
HAT-P-29,b,Transit,5.723186,0.0667,0.095,0.778,0.71,87.1,322,,6087,1.21,1.22,,,,12.408,2011,http://exoplanet.eu/catalog/hat-p-29_b/
HAT-P-34,b,Transit,5.452654,0.0677,0.441,3.328,2.4,87.1,257,,6442,1.39,1.53,HD 351766,,,13.417,2012,http://exoplanet.eu/catalog/hat-p-34_b/
Kepler-33,b,Transit,5.66793,0.0677,0,,,86.39,,,5904,1.29,1.82,,,,1.74,2012,http://exoplanet.eu/catalog/kepler-33_b/
Kepler-25,b,Transit,6.2385,0.068,,12.7,,,,,6103,,1.66,,,,2.6,2012,http://exoplanet.eu/catalog/kepler-25_b/
HAT-P-2,b,Transit,5.6334729,0.06878,0.5171,9.09,7.29,86.72,110.3,8.689,6290,1.36,1.64,HD 147506,HIP 80076,0.461,12.97,2007,http://exoplanet.eu/catalog/hat-p-2_b/
Kepler-23,b,Transit,7.1073,0.075,,0.8,,,,,5877,,1.74,,,,1.9,2012,http://exoplanet.eu/catalog/kepler-23_b/
KOI-1725,b,Transit,9.8844,0.0751,0,,,88.42,,,4240,0.58,0.55,,,,2.65,2011,http://exoplanet.eu/catalog/kic_10905746_b/
Kepler-18,c,Transit,7.64159,0.0752,0,0.054,0.59,87.68,,,5385,,0.98,,,,5.49,2011,http://exoplanet.eu/catalog/kepler-18_c/
WASP-38,b,Transit,6.871815,0.07522,0.0314,2.691,2.74,88.69,110,,6150,1.2,1.33,HD 146389,,,12.263,2010,http://exoplanet.eu/catalog/wasp-38_b/
Kepler-24,b,Transit,8.1453,0.08,,1.6,,,,,5800,,1.1,,,,2.4,2012,http://exoplanet.eu/catalog/kepler-24_b/
Kepler-40,b,Transit,6.87349,0.08,0,2.2,1.68,89.7,2700,,6510,1.48,2.13,,,,13.11,2011,http://exoplanet.eu/catalog/koi-428_b/
WASP-8,b,Transit,8.158715,0.0801,0.31,2.244,,88.55,87,,5600,1.03,0.94,,,,11.63,2008,http://exoplanet.eu/catalog/wasp-8_b/
Kepler-28,c,Transit,8.9858,0.081,,1.36,,,,,4590,,0.74,,,,3.4,2012,http://exoplanet.eu/catalog/kepler-28_c/
Kepler-26,b,Transit,12.2829,0.085,,0.38,,,,,4486,0.63,0.58,,,,3.6,2012,http://exoplanet.eu/catalog/kepler-26_b/
CoRoT-6,b,Transit,8.886593,0.0855,0.1,2.96,2.32,89.07,,,6090,1.05,1.02,,,,13.068,2009,http://exoplanet.eu/catalog/corot-6_b/
HAT-P-17,b,Transit,10.338523,0.0882,0.346,0.53,0.64,89.2,90,,5246,0.86,0.84,,,,11.321,2010,http://exoplanet.eu/catalog/hat-p-17_b/
CoRoT-4,b,Transit,9.20205,0.09,0,0.72,0.525,90,,,6190,1.16,1.17,,,,13.339,2008,http://exoplanet.eu/catalog/corot-4_b/
Kepler-29,b,Transit,10.3376,0.09,,0.4,,,,,5711,,0.86,,,,3.6,2012,http://exoplanet.eu/catalog/kepler-29_b/
Kepler-32,c,Transit,8.7522,0.09,,0.5,,,,,3911,,0.54,,,,2,2012,http://exoplanet.eu/catalog/kepler-32_c/
CoRoT-20,b,Transit,9.2,0.0902,0.562,4.24,,88.21,1230,,5880,1.14,1.02,,,,9.42,2011,http://exoplanet.eu/catalog/corot-20_b/
Kepler-11,b,Transit,10.30375,0.091,0,0.014,3.1,88.5,,,5685,,1.06,,,,1.97,2011,http://exoplanet.eu/catalog/kepler-11_b/
Kepler-20,c,Transit,10.854092,0.093,0.4,0.051,2.91,88.39,,,5443,0.9,0.94,,,,3.07,2011,http://exoplanet.eu/catalog/kepler-20_c/
HAT-P-15,b,Transit,10.863502,0.0964,0.19,1.946,1.96,89.1,190,,5568,1.01,1.08,,,,12.016,2010,http://exoplanet.eu/catalog/hat-p-15_b/
Kepler-23,c,Transit,10.7421,0.099,,2.7,,,,,5877,,1.74,,,,3.2,2012,http://exoplanet.eu/catalog/kepler-23_c/
CoRoT-10,b,Transit,13.2406,0.1055,0.53,2.75,3.7,88.55,345,,5075,0.89,0.79,,,,10.873,2010,http://exoplanet.eu/catalog/corot-10_b/
Kepler-11,c,Transit,13.02502,0.106,0,0.042,2.3,89,,,5685,,1.06,,,,3.15,2011,http://exoplanet.eu/catalog/kepler-11_c/
Kepler-24,c,Transit,12.3335,0.106,,1.6,,,,,5800,,1.1,,,,2.8,2012,http://exoplanet.eu/catalog/kepler-24_c/
Kepler-26,c,Transit,17.2513,0.107,,0.375,,,,,4486,0.63,0.58,,,,3.6,2012,http://exoplanet.eu/catalog/kepler-26_c/
Kepler-25,c,Transit,12.7204,0.11,,4.16,,,,,6103,,1.66,,,,4.5,2012,http://exoplanet.eu/catalog/kepler-25_c/
Kepler-29,c,Transit,13.2907,0.11,,0.3,,,,,5711,,0.86,,,,2.9,2012,http://exoplanet.eu/catalog/kepler-29_c/
Kepler-36,b,Transit,13.83989,0.1153,0.039,0.014,7.46,90.01,470,,5911,1.07,1.63,,,,1.486,2012,http://exoplanet.eu/catalog/kepler-36b/
Kepler-18,d,Transit,14.85888,0.1172,0,0.052,0.27,88.07,,,5385,,0.98,,,,6.98,2011,http://exoplanet.eu/catalog/kepler-18_d/
Kepler-27,b,Transit,15.3348,0.118,,9.11,,,,,5399,,0.92,,,,4,2012,http://exoplanet.eu/catalog/kepler-27_b/
Kepler-33,c,Transit,13.17562,0.1189,0,,,88.19,,,5904,1.29,1.82,,,,3.2,2012,http://exoplanet.eu/catalog/kepler-33_c/
Kepler-36,c,Transit,16.23855,0.1283,0.033,0.025,0.89,89.98,470,,5911,1.07,1.63,,,,3.679,2012,http://exoplanet.eu/catalog/kepler-36c/
Kepler-9,b,Transit,19.24,0.14,0.15,0.252,0.524,,,,5777,,1.01,,,,9.438,2010,http://exoplanet.eu/catalog/kepler-9_b/
Kepler-39,b,Transit,21.0874,0.155,0.121,18,12.4,88.83,1200,,6260,1.1,1.39,,,,13.68,2011,http://exoplanet.eu/catalog/koi-423_b/
Kepler-11,d,Transit,22.68719,0.159,0,0.019,0.9,89.3,,,5685,,1.06,,,,3.43,2011,http://exoplanet.eu/catalog/kepler-11_d/
Kepler-31,b,Transit,20.8613,0.16,,,,,,,6345,1.16,1.1,,,,5.5,2012,http://exoplanet.eu/catalog/kepler-31_b/
HD 17156,b,Radial Velocity,21.21663,0.1614,0.6819,3.191,3.78,86.89,75,8.162,6100,1.27,1.5,HD 17156,HIP 13192,0.617,12.184,2007,http://exoplanet.eu/catalog/hd_17156_b/
Kepler-33,d,Transit,21.77596,0.1662,0,,,88.71,,,5904,1.29,1.82,,,,5.35,2012,http://exoplanet.eu/catalog/kepler-33_d/
Kepler-30,b,Transit,29.33434,0.18,0.042,0.036,1.02,90.179,,,5461,,0.94,,,,3.9,2012,http://exoplanet.eu/catalog/kepler-30_b/
Kepler-27,c,Transit,31.3309,0.191,,13.8,,,,,5399,,0.92,,,,4.9,2012,http://exoplanet.eu/catalog/kepler-27_c/
Kepler-11,e,Transit,31.9959,0.194,0,0.026,0.5,88.8,,,5685,,1.06,,,,4.52,2011,http://exoplanet.eu/catalog/kepler-11_e/
Kepler-46,b,Transit,33.60134,0.1968,0.01,6,14,89.038,855,,5155,0.9,0.94,,,,9.057,2012,http://exoplanet.eu/catalog/koi-872_b/
Kepler-33,e,Transit,31.7844,0.2138,0,,,88.94,,,5904,1.29,1.82,,,,4.02,2012,http://exoplanet.eu/catalog/kepler-33_e/
Kepler-9,c,Transit,38.91,0.225,0.13,0.171,0.383,,,,5777,,1.01,,,,9.225,2010,http://exoplanet.eu/catalog/kepler-9_c/
Kepler-10,c,Transit,42.29485,0.2407,0,0.063,10,89.65,,,5627,,1,,,,2.227,2011,http://exoplanet.eu/catalog/kepler-10_c/
Kepler-11,f,Transit,46.68876,0.25,0,0.007,0.7,89.4,,,5685,,1.06,,,,2.61,2011,http://exoplanet.eu/catalog/kepler-11_f/
Kepler-33,f,Transit,41.02902,0.2535,0,,,89.17,,,5904,1.29,1.82,,,,4.46,2012,http://exoplanet.eu/catalog/kepler-33_f/
Kepler-31,c,Transit,42.6318,0.26,,4.7,,,,,6345,1.16,1.1,,,,5.3,2012,http://exoplanet.eu/catalog/kepler-31_c/
KOI-1727,b,Transit,49.76971,0.2672,0,,,89.2,,,5619,1.03,1.27,,,,8.05,2011,http://exoplanet.eu/catalog/kic_6185331_b/
Kepler-47,b,Transit,49.532,0.2962,0.035,2,,89.7,,,5636,1.04,0.96,,,,3.03,2012,http://exoplanet.eu/catalog/kepler-47(ab)_b/
Kepler-30,c,Transit,60.323105,0.3,0.0111,2.01,1.88,90.323,,,5461,,0.94,,,,12.3,2012,http://exoplanet.eu/catalog/kepler-30_c/
Kepler-20,d,Transit,77.61184,0.3453,0.6,0.063,4.07,89.57,,,5443,0.9,0.94,,,,2.75,2011,http://exoplanet.eu/catalog/kepler-20_d/
CoRoT-9,b,Transit,95.2738,0.407,0.11,0.84,0.9,89.99,460,,5625,0.99,0.94,,,,11.769,2010,http://exoplanet.eu/catalog/corot-9_b/
HD 80606,b,Radial Velocity,111.4357,0.449,0.9332,3.94,4.828,89.32,58.4,9.001,5645,0.97,0.98,HD 80606,HIP 45982,0.778,10.985,2003,http://exoplanet.eu/catalog/hd_80606_b/
Kepler-11,g,Transit,118.37774,0.462,0,0.944,,89.8,,,5685,,1.06,,,,3.66,2011,http://exoplanet.eu/catalog/kepler-11_g/
Kepler-38,b,Transit,105.599,0.4632,0.032,,,89.442,600,,5623,0.94,1.75,,,,4.3,2012,http://exoplanet.eu/catalog/kepler-38(ab)_b/
Kepler-30,d,Transit,143.34394,0.5,0.022,0.073,0.19,89.841,,,5461,,0.94,,,,8.8,2012,http://exoplanet.eu/catalog/kepler-30_d/
Kepler-35,b,Transit,131.458,0.60347,0.042,0.127,0.41,90.76,,,5359,,0.67,,,,8.16,2012,http://exoplanet.eu/catalog/kepler-35(ab)_b/
Kepler-16,b,Transit,228.776,0.7048,0.0069,0.333,0.964,90.032,,,4576,0.69,0.62,,,,8.449,2011,http://exoplanet.eu/catalog/kepler-16_(ab)_b/
Kepler-22,b,Transit,289.8623,0.849,0,0.113,14.7,89.764,,,5510,,0.85,,,,2.38,2011,http://exoplanet.eu/catalog/kepler-22_b/
Kepler-47,c,Transit,303.137,0.991,0.411,28,,89.825,,,5636,1.04,0.96,,,,4.62,2012,http://exoplanet.eu/catalog/kepler-47(ab)_c/
Kepler-34,b,Transit,288.822,1.0896,0.182,0.22,0.613,90.355,,,5706,,1.03,,,,8.564,2012,http://exoplanet.eu/catalog/kepler-34(ab)_b/
HR 8799,d,Imaging,37000,24,,10,,,39.94,5.953,,,,HD 218396,HIP 114189,0.254,13,2008,http://exoplanet.eu/catalog/hr_8799_d/
HR 8799,c,Imaging,69000,38,,10,,,39.94,5.953,,,,HD 218396,HIP 114189,0.254,13,2008,http://exoplanet.eu/catalog/hr_8799_c/
2MASS J12073346-3932539,b,Imaging,,41,,4,,,,,,,,,,,16.813,2004,http://exoplanet.eu/catalog/2m1207_b/
HR 8799,b,Imaging,170000,68,,7,,,39.94,5.953,,,,HD 218396,HIP 114189,0.254,13,2008,http://exoplanet.eu/catalog/hr_8799_b/
CT Cha,b,Imaging,,440,,17,,,,,,,,,,,24.66,2008,http://exoplanet.eu/catalog/ct_cha_b/
HN Peg,b,Imaging,,773,,21.9987,,,18.39,5.95,,,,HD 206860,HIP 107350,0.584,11.777,2007,http://exoplanet.eu/catalog/hn_peg_b/
HIP 63510,c,Imaging,,1168,,6.28536,,,11.43,9.72,,,,,HIP 63510,1.48,13.675,2010,http://exoplanet.eu/catalog/ross_458(ab)_c/
