pl_hostname,pl_letter,pl_discmethod,pl_orbper,pl_orbsmax,pl_orbeccen,pl_massj,pl_dens,pl_orbincl,st_dist,st_vj,st_teff,st_mass,st_rad,hd_name,hip_name,st_bmvj,pl_rade,pl_disc,pl_pelink
OGLE-TR-132,b,Transit,1.689868,0.03035,,1.18,0.85,83.4,2500,15.72,6210,1.3,1.32,,,,13.451,2004,http://exoplanet.eu/catalog/ogle-tr-132_b/
OGLE2-TR-L9,b,Transit,2.4855335,0.0308,,4.5,,79.8,,,6933,1.52,1.53,,,,18.046,2007,http://exoplanet.eu/catalog/ogle2-tr-l9_b/
HD 189733,b,Radial Velocity,2.21857578,0.03142,0,1.15,1.004,85.78,19.7,7.676,5040,0.84,0.75,HD 189733,HIP 98505,0.931,12.902,2005,http://exoplanet.eu/catalog/hd_189733_b/
WASP-3,b,Transit,1.846835,0.03151,0,1.76,1.037,84.93,220,,6400,1.24,1.31,,,,14.5,2007,http://exoplanet.eu/catalog/wasp-3_b/
HAT-P-7,b,Transit,2.2047304,0.032,0.039,1.776,0.876,80.8,320,,6350,1.47,1.84,,,,15.278,2008,http://exoplanet.eu/catalog/hat-p-7_b/
HAT-P-32,b,Transit,2.150008,0.0343,0,0.86,0.19,88.9,283,,6207,1.16,1.22,,,,20.053,2011,http://exoplanet.eu/catalog/hat-p-32_b/
WASP-48,b,Transit,2.143634,0.03444,0,0.98,0.279,80.09,,,5920,1.19,1.75,,,,18.719,2011,http://exoplanet.eu/catalog/wasp-48_b/
WASP-44,b,Transit,2.4238039,0.03473,0,0.889,0.811,86.02,,,5410,0.95,0.93,,,,12.778,2011,http://exoplanet.eu/catalog/wasp-44_b/
GJ 3470,b,Transit,3.33714,0.0348,0.051,0.0441,1.07,88.8,25.2,12.33,3600,0.54,0.5,,,,4.2,2012,http://exoplanet.eu/catalog/gj_3470_b/
TrES-2,b,Transit,2.47063,0.03556,0,1.199,0.77,83.62,213,11.411,5850,0.98,1,,,0.619,14.258,2006,http://exoplanet.eu/catalog/tres-2_/
WASP-14,b,Transit,2.243752,0.036,0.091,7.341,4.656,84.32,160,,6475,1.21,1.31,,,,14.36,2008,http://exoplanet.eu/catalog/wasp-14_b/
HAT-P-20,b,Transit,2.875317,0.0361,0.015,7.246,13.78,86.8,70,,4595,0.76,0.69,,,,9.718,2010,http://exoplanet.eu/catalog/hat-p-20_b/
WASP-78,b,Transit,2.17517632,0.0362,0,0.89,0.2394,83.2,550,,6100,1.17,1.6,,,,19.055,2012,http://exoplanet.eu/catalog/wasp-78_b/
WASP-24,b,Transit,2.34121242,0.03651,0,1.071,0.648,83.64,,,6075,1.18,1.33,,,,14.571,2010,http://exoplanet.eu/catalog/wasp-24_b/
XO-2,b,Transit,2.615864,0.0368,,0.565,,,148,11.18,5340,0.97,0.98,,,0.82,11.164,2007,http://exoplanet.eu/catalog/xo-2_b/
WASP-23,b,Transit,2.9444256,0.0376,0.062,0.884,,88.39,,,5150,0.78,0.77,,,,10.783,2011,http://exoplanet.eu/catalog/wasp-23_b/
WASP-10,b,Transit,3.0927616,0.03781,,3.15,3.91,89.5,90,,4675,0.75,0.7,,,,11.545,2008,http://exoplanet.eu/catalog/wasp-10_b/
HAT-P-37,b,Transit,2.797436,0.0379,0.058,1.169,0.89,86.9,411,,5500,0.93,0.88,,,,13.204,2012,http://exoplanet.eu/catalog/hat-p-37_b/
