# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sat Oct 20 21:07:36 2012
#
pl_hostname,pl_letter,pl_discmethod,pl_orbper,pl_orbsmax,pl_orbeccen,pl_massj,pl_radj,pl_radj,pl_dens,pl_orbincl,st_dist,st_vj,st_teff,st_mass,st_rad,hd_name,hip_name,st_bmvj,pl_rade,pl_disc
BD-08 2823,b,Radial Velocity,5.60000000,0.056000,0.150000,,,,,,42.20,9.880,4746.00,0.74,,,HIP 49067,0.999,,2009
BD-08 2823,c,Radial Velocity,237.60000000,0.680000,0.190000,,,,,,42.20,9.880,4746.00,0.74,,,HIP 49067,0.999,,2009
BD-10 3166,b,Radial Velocity,3.48777000,0.045200,0.019000,0.45800,,,,,,10.080,,,,,,0.840,,2000
BD-13 2130,b,Radial Velocity,714.30000000,2.100000,0.210000,,,,,,,9.767,,,,,,1.214,,2007
BD-17 63,b,Radial Velocity,655.60000000,1.340000,0.540000,,,,,,34.60,9.566,4714.00,0.74,0.69,,HIP 2247,1.165,,2008
BOKS-1,b,Transit,3.90512000,0.047700,0.000000,,1.110,1.110,,89.800,800.00,,5545.00,0.95,0.86,,,,12.442,2010
CT Cha,b,Imaging,,440.000000,,17.00000,2.200,2.200,,,,,,,,,,,24.660,2008
CoRoT-1,b,Transit,1.50895570,0.025400,0.000000,1.03000,1.490,1.490,0.38000,85.100,,,5950.00,0.95,1.11,,,,16.701,2007
CoRoT-10,b,Transit,13.24060000,0.105500,0.530000,2.75000,0.970,0.970,3.70000,88.550,345.00,,5075.00,0.89,0.79,,,,10.873,2010
CoRoT-11,b,Transit,2.99433000,0.043600,0.000000,2.33000,1.430,1.430,0.99000,83.170,560.00,,6440.00,1.27,1.37,,,,16.029,2010
CoRoT-12,b,Transit,2.82804200,0.040160,0.070000,0.91700,1.440,1.440,0.30900,85.480,1150.00,,5675.00,1.08,1.12,,,,16.141,2010
CoRoT-13,b,Transit,4.03519000,0.051000,0.000000,1.30800,0.885,0.885,2.34000,88.020,1060.00,,5945.00,1.09,1.01,,,,9.920,2010
CoRoT-14,b,Transit,1.51215000,,0.000000,7.58000,1.090,1.090,7.30000,79.600,1340.00,,6035.00,1.13,1.21,,,,12.218,2010
CoRoT-16,b,Transit,5.35227000,0.061800,0.330000,0.53500,1.170,1.170,0.44000,85.010,840.00,,5650.00,1.10,1.19,,,,13.114,2012
CoRoT-17,b,Transit,3.76810000,0.046100,0.000000,2.43000,1.020,1.020,2.82000,88.340,920.00,,5740.00,1.04,1.59,,,,11.433,2011
CoRoT-18,b,Transit,1.90006930,0.029500,0.080000,3.47000,1.310,1.310,2.20000,86.500,870.00,,5440.00,0.95,1.00,,,,14.684,2011
CoRoT-19,b,Transit,3.89713000,0.051800,0.047000,1.11000,1.290,1.290,0.71000,88.000,770.00,,6090.00,1.21,1.65,,,,14.460,2011
CoRoT-2,b,Transit,1.74299640,0.028100,0.000000,3.31000,1.465,1.465,1.31000,87.840,,,5625.00,0.97,0.90,,,,16.421,2007
