# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sat Oct 20 21:07:36 2012
#
pl_hostname,pl_letter,pl_discmethod,pl_orbper,pl_orbsmax,pl_orbeccen,pl_massj,pl_radj,pl_radj,pl_dens,pl_orbincl,st_dist,st_vj,st_teff,st_mass,st_rad,hd_name,hip_name,st_bmvj,pl_rade,pl_disc
HD 114729,b,Radial Velocity,1114.00000000,2.110000,0.167000,,,,,,35.00,6.695,,,,HD 114729,HIP 64459,0.592,,2002
HD 114762,b,Radial Velocity,83.88800000,0.363000,0.335900,,,,,,40.57,7.301,,,,HD 114762,HIP 64426,0.517,,1989
HD 114783,b,Radial Velocity,493.70000000,1.160000,0.144000,,,,,,20.43,7.563,,,,HD 114783,HIP 64457,0.926,,2001
HD 11506,b,Radial Velocity,1271.00000000,2.430000,0.220000,,,,,,53.82,7.513,,,,HD 11506,HIP 8770,0.594,,2007
HD 11506,c,Radial Velocity,170.60000000,0.639000,0.420000,,,,,,53.82,7.513,,,,HD 11506,HIP 8770,0.594,,2009
HD 116029,b,Radial Velocity,670.20000000,1.730000,0.210000,,,,,,110.62,7.871,,,,HD 116029,HIP 65117,1.027,,2011
HD 117207,b,Radial Velocity,2597.00000000,3.790000,0.144000,,,,,,33.01,7.247,,,,HD 117207,HIP 65808,0.738,,2004
HD 117618,b,Radial Velocity,25.82700000,0.176000,0.420000,,,,,,38.02,7.169,,,,HD 117618,HIP 66047,0.600,,2004
HD 118203,b,Radial Velocity,6.13350000,0.070000,0.309000,,,,,,88.57,8.057,,,,HD 118203,HIP 66192,0.690,,2005
HD 11964,b,Radial Velocity,1945.00000000,3.160000,0.041000,,,,,,33.98,6.410,,,,HD 11964,HIP 9094,0.820,,2005
HD 11964,c,Radial Velocity,37.91000000,0.229000,0.300000,,,,,,33.98,6.410,,,,HD 11964,HIP 9094,0.820,,2005
HD 11977,b,Radial Velocity,711.00000000,1.930000,0.400000,,,,,,66.49,4.690,,,,HD 11977,HIP 8928,0.950,,2005
HD 121504,b,Radial Velocity,63.33000000,0.330000,0.030000,,,,,,44.37,7.517,,,,HD 121504,HIP 68162,0.602,,2003
HD 122430,b,Radial Velocity,344.95000000,1.020000,0.680000,,,,,,133.16,5.469,,,,HD 122430,HIP 68581,1.331,,2003
HD 125595,b,Radial Velocity,9.67370000,0.080900,,,,,,,27.45,9.000,,,,HD 125595,HIP 70170,1.108,,2009
HD 125612,b,Radial Velocity,559.40000000,1.370000,0.460000,,,,,,52.83,8.317,,,,HD 125612,HIP 70123,0.613,,2007
HD 125612,c,Radial Velocity,4.15470000,0.050000,0.270000,,,,,,52.83,8.317,,,,HD 125612,HIP 70123,0.613,,2009
HD 125612,d,Radial Velocity,3008.00000000,4.200000,0.280000,,,,,,52.83,8.317,,,,HD 125612,HIP 70123,0.613,,2009
HD 126525,b,Radial Velocity,948.12000000,1.810500,0.130000,,,,,,38.05,7.840,,,,HD 126525,HIP 70695,0.700,,2011
HD 12661,b,Radial Velocity,262.70900000,0.831000,0.376800,,,,,,37.16,7.425,,,,HD 12661,HIP 9683,0.731,,2000
HD 12661,c,Radial Velocity,1708.00000000,2.900000,0.031000,,,,,,37.16,7.425,,,,HD 12661,HIP 9683,0.731,,2002
HD 126614,b,Radial Velocity,1244.00000000,2.350000,0.410000,,,,,,68.35,8.788,,,,HD 126614,HIP 70623,0.874,,2010
HD 128311,b,Radial Velocity,454.20000000,1.086000,0.345000,,,,,,16.57,7.487,,,,HD 128311,HIP 71395,0.993,,2002
HD 128311,c,Radial Velocity,923.80000000,1.745000,0.230000,,,,,,16.57,7.487,,,,HD 128311,HIP 71395,0.993,,2005
HD 129445,b,Radial Velocity,1840.00000000,2.900000,0.700000,,,,,,67.61,8.787,,,,HD 129445,HIP 72203,0.787,,2010
HD 130322,b,Radial Velocity,10.70850000,0.089600,0.011000,,,,,,29.76,8.031,,,,HD 130322,HIP 72339,0.796,,1999
HD 131496,b,Radial Velocity,883.00000000,2.090000,0.163000,,,,,,121.36,7.799,,,,HD 131496,HIP 72845,1.030,,2011
HD 131664,b,Radial Velocity,1951.00000000,3.170000,0.638000,,,,,,57.21,8.128,,,,HD 131664,HIP 73408,0.690,,2008
HD 13189,b,Radial Velocity,471.60000000,1.850000,0.270000,,,,,,300.30,7.556,,,,HD 13189,HIP 10085,1.483,,2005
HD 132406,b,Radial Velocity,974.00000000,1.980000,0.340000,,,,,,70.97,8.467,,,,HD 132406,HIP 73146,0.631,,2007
HD 132563,b,Radial Velocity,1544.00000000,2.620000,0.220000,,,,,,98.52,8.928,,,,HD 132563,HIP 73261A,0.541,,2011
HD 134060,b,Radial Velocity,3.27000000,0.044400,0.400000,,,,,,24.15,6.300,,,,HD 134060,HIP 74273,0.630,,2011
HD 134060,c,Radial Velocity,1160.90000000,2.226300,0.750000,,,,,,24.15,6.300,,,,HD 134060,HIP 74273,0.630,,2011
HD 134606,b,Radial Velocity,12.08300000,0.102300,0.150000,,,,,,26.91,6.854,,,,HD 134606,HIP 74653,0.754,,2011
HD 134606,c,Radial Velocity,59.51900000,0.296200,0.290000,,,,,,26.91,6.854,,,,HD 134606,HIP 74653,0.754,,2011
HD 134606,d,Radial Velocity,459.26000000,1.156700,0.460000,,,,,,26.91,6.854,,,,HD 134606,HIP 74653,0.754,,2011
HD 134987,b,Radial Velocity,258.19000000,0.810000,0.233000,,,,,,25.65,6.450,,,,HD 134987,HIP 74500,0.700,,1999
HD 134987,c,Radial Velocity,5000.00000000,5.800000,0.120000,,,,,,25.65,6.450,,,,HD 134987,HIP 74500,0.700,,2009
HD 136352,b,Radial Velocity,11.57700000,0.093300,0.180000,,,,,,14.56,5.650,,,,HD 136352,HIP 75181,0.650,,2011
HD 136352,c,Radial Velocity,27.58200000,0.166500,0.160000,,,,,,14.56,5.650,,,,HD 136352,HIP 75181,0.650,,2011
HD 136352,d,Radial Velocity,106.72000000,0.411000,0.430000,,,,,,14.56,5.650,,,,HD 136352,HIP 75181,0.650,,2011
HD 136418,b,Radial Velocity,464.30000000,1.320000,0.255000,,,,,,106.38,7.879,,,,HD 136418,HIP 74961,0.937,,2010
HD 137388A,b,Radial Velocity,330.00000000,0.890000,0.360000,,,,,,38.45,8.696,,,,HD 137388A,HIP 76351,0.894,,2011
HD 13808,b,Radial Velocity,14.18200000,0.101700,0.170000,,,,,,28.60,8.381,,,,HD 13808,HIP 10301,0.851,,2011
HD 13808,c,Radial Velocity,53.83200000,0.247600,0.430000,,,,,,28.60,8.381,,,,HD 13808,HIP 10301,0.851,,2011
HD 13931,b,Radial Velocity,4218.00000000,5.150000,0.020000,,,,,,45.52,7.597,,,,HD 13931,HIP 10626,0.642,,2010
HD 139357,b,Radial Velocity,1125.70000000,2.360000,0.100000,,,,,,121.36,5.964,,,,HD 139357,HIP 76311,1.196,,2009
HD 141937,b,Radial Velocity,653.22000000,1.520000,0.410000,,,,,,33.46,7.250,,,,HD 141937,HIP 77740,0.622,,2002
HD 142,b,Radial Velocity,349.70000000,1.020000,0.170000,,,,,,25.70,5.700,6403.00,1.23,1.47,HD 142,HIP 522,0.520,,2001
HD 142,c,Radial Velocity,6005.00000000,6.800000,0.210000,,,,,,25.70,5.700,6403.00,1.23,1.47,HD 142,HIP 522,0.520,,2012
HD 142022A,b,Radial Velocity,1928.00000000,3.030000,0.530000,,,,,,35.87,7.655,,,,HD 142022A,HIP 79242,0.800,,2005
HD 142245,b,Radial Velocity,1299.00000000,2.770000,0.320000,,,,,,106.38,7.452,,,,HD 142245,HIP 77783,1.042,,2011
HD 142415,b,Radial Velocity,386.30000000,1.050000,0.500000,,,,,,34.57,7.327,,,,HD 142415,HIP 78169,0.632,,2003
HD 143361,b,Radial Velocity,1057.00000000,2.000000,0.150000,,,,,,59.35,9.225,,,,HD 143361,HIP 78521,0.800,,2008
HD 145377,b,Radial Velocity,103.95000000,0.450000,0.307000,,,,,,55.19,8.095,,,,HD 145377,HIP 79346,0.639,,2008
HD 145457,b,Radial Velocity,176.30000000,0.760000,0.112000,,,,,,126.10,6.566,,,,HD 145457,HIP 79219,1.042,,2010
HD 1461,b,Radial Velocity,5.77270000,0.063438,0.140000,,,,,,23.40,6.460,5765.00,1.02,1.11,HD 1461,HIP 1499,0.680,,2009
HD 1461,c,Radial Velocity,13.50500000,0.111700,0.000000,,,,,,23.40,6.460,5765.00,1.02,1.11,HD 1461,HIP 1499,0.680,,2011
HD 147018,b,Radial Velocity,44.23600000,0.238800,0.468600,,,,,,42.68,8.301,,,,HD 147018,HIP 80250,0.773,,2009
HD 147018,c,Radial Velocity,1008.00000000,1.922000,0.133000,,,,,,42.68,8.301,,,,HD 147018,HIP 80250,0.773,,2009
HD 147513,b,Radial Velocity,528.40000000,1.320000,0.260000,,,,,,12.87,5.390,,,,HD 147513,HIP 80337,0.620,,2003
HD 148156,b,Radial Velocity,1027.00000000,2.450000,0.520000,,,,,,53.05,7.689,,,,HD 148156,HIP 80680,0.568,,2009
HD 148427,b,Radial Velocity,331.50000000,0.930000,0.160000,,,,,,59.28,6.895,,,,HD 148427,HIP 80687,0.952,,2009
HD 149026,b,Radial Velocity,2.87589110,0.042880,0.000000,0.36800,0.813,0.813,0.85000,88.000,83.00,8.137,6160.00,1.34,1.54,HD 149026,HIP 80838,0.616,9.113,2005
HD 149143,b,Radial Velocity,4.07200000,0.053000,0.016000,,,,,,63.49,7.893,,,,HD 149143,HIP 81022,0.668,,2005
HD 149382,b,Radial Velocity,2.39100000,,0.000000,,,,,39.000,76.51,,,,,HD 149382,HIP 81145,,,2009
HD 1502,b,Radial Velocity,431.80000000,1.310000,0.101000,,,,,,167.50,8.342,,,,HD 1502,HIP 1547,0.948,,2011
HD 150433,b,Radial Velocity,1096.20000000,1.930300,0.000000,,,,,,29.55,7.210,,,,HD 150433,HIP 81681,0.640,,2011
HD 152079,b,Radial Velocity,2097.00000000,3.200000,0.600000,,,,,,85.18,9.156,,,,HD 152079,HIP 82632,0.752,,2010
HD 152581,b,Radial Velocity,689.00000000,1.480000,0.220000,,,,,,182.82,8.347,,,,HD 152581,HIP 82651,0.903,,2011
HD 153950,b,Radial Velocity,499.40000000,1.280000,0.340000,,,,,,51.87,7.390,,,,HD 153950,HIP 83547,0.552,,2008
HD 154088,b,Radial Velocity,18.59600000,0.131600,0.380000,,,,,,18.08,6.580,,,,HD 154088,HIP 83541,0.830,,2011
HD 154345,b,Radial Velocity,3342.00000000,4.190000,0.044000,,,,,,18.06,6.769,,,,HD 154345,HIP 83389,0.743,,2006
HD 154672,b,Radial Velocity,163.90000000,0.600000,0.610000,,,,,,65.79,8.204,,,,HD 154672,HIP 83983,0.708,,2008
HD 154857,b,Radial Velocity,409.00000000,1.200000,0.470000,,,,,,68.54,7.238,,,,HD 154857,HIP 84069,0.697,,2004
HD 155358,b,Radial Velocity,194.30000000,0.640000,0.170000,,,,,,43.40,7.270,,,,HD 155358,HIP 83949,0.524,,2007
HD 155358,c,Radial Velocity,391.90000000,1.020000,0.160000,,,,,,43.40,7.270,,,,HD 155358,HIP 83949,0.524,,2007
HD 156279,b,Radial Velocity,131.05000000,0.495000,0.708000,,,,,,35.37,8.077,,,,HD 156279,HIP 84171,0.803,,2011
HD 156411,b,Radial Velocity,842.00000000,,,,,,,,55.10,6.673,,,,HD 156411,HIP 84787,0.601,,2009
HD 156668,b,Radial Velocity,4.64550000,0.050000,0.000000,,,,,,24.05,8.424,,,,HD 156668,HIP 84607,1.003,,2010
HD 156846,b,Radial Velocity,359.55460000,1.096000,0.847850,,,,,,49.00,6.520,,,,HD 156846,HIP 84856,0.580,,2007
HD 157172,b,Radial Velocity,104.84000000,0.416000,0.460000,,,,,,33.48,7.859,,,,HD 157172,HIP 85017,0.779,,2011
HD 158038,b,Radial Velocity,521.00000000,1.520000,0.291000,,,,,,114.15,7.464,,,,HD 158038,HIP 85294,1.052,,2011
HD 159868,b,Radial Velocity,986.00000000,2.000000,0.690000,,,,,,52.72,7.242,,,,HD 159868,HIP 86375,0.717,,2007
HD 160691,b,Radial Velocity,643.25000000,1.497000,0.128000,1.67600,,,,,15.28,5.150,,,,HD 160691,HIP 86796,0.700,,2001
HD 160691,c,Radial Velocity,4205.80000000,5.235000,0.098500,,,,,,15.28,5.150,,,,HD 160691,HIP 86796,0.700,,2004
HD 160691,d,Radial Velocity,9.63860000,0.090940,0.172000,0.03321,,,,,15.28,5.150,,,,HD 160691,HIP 86796,0.700,,2004
HD 160691,e,Radial Velocity,310.55000000,0.921000,0.066600,0.52190,,,,,15.28,5.150,,,,HD 160691,HIP 86796,0.700,,2007
HD 16141,b,Radial Velocity,75.52300000,0.363000,0.252000,,,,,,35.91,6.818,,,,HD 16141,HIP 12048,0.680,,2000
HD 16175,b,Radial Velocity,990.00000000,2.100000,0.590000,,,,,,59.84,7.282,,,,HD 16175,HIP 12191,0.644,,2007
HD 162020,b,Radial Velocity,8.42819800,0.074000,0.277000,,,,,,31.26,9.118,,,,HD 162020,HIP 87330,0.988,,2002
HD 163607,b,Radial Velocity,75.22900000,0.360000,0.730000,,,,,,69.44,7.979,,,,HD 163607,HIP 87601,0.783,,2011
HD 163607,c,Radial Velocity,1314.00000000,2.420000,0.120000,,,,,,69.44,7.979,,,,HD 163607,HIP 87601,0.783,,2011
HD 16417,b,Radial Velocity,17.24000000,0.140000,0.200000,,,,,,25.54,5.790,,,,HD 16417,HIP 12186,0.660,,2009
HD 164509,b,Radial Velocity,282.40000000,0.875000,0.260000,,,,,,51.81,8.103,,,,HD 164509,HIP 88268,0.621,,2011
HD 164604,b,Radial Velocity,606.40000000,1.300000,0.240000,,,,,,37.98,9.827,,,,HD 164604,HIP 88414,1.050,,2010
HD 164922,b,Radial Velocity,1155.00000000,2.110000,0.050000,,,,,,21.92,6.990,,,,HD 164922,HIP 88348,0.820,,2006
HD 166724,b,Radial Velocity,8100.00000000,,0.770000,4.12187,,,,,42.99,9.344,,,,HD 166724,HIP 89354,0.857,,2011
HD 167042,b,Radial Velocity,412.60000000,1.300000,0.027000,,,,,,50.00,5.940,,,,HD 167042,HIP 89047,0.940,,2007
HD 16760,b,Radial Velocity,465.10000000,1.130000,0.067000,,,,,,50.18,8.765,,,,HD 16760,HIP 12638,0.690,,2009
HD 168443,b,Radial Velocity,58.11289000,0.300000,0.528600,,,,,,37.88,6.917,,,,HD 168443,HIP 89844,0.735,,1998
HD 168443,c,Radial Velocity,1749.50000000,2.910000,0.212000,,,,,,37.88,6.917,,,,HD 168443,HIP 89844,0.735,,2001
HD 168746,b,Radial Velocity,6.40300000,0.065000,0.081000,,,,,,43.12,7.946,,,,HD 168746,HIP 90004,0.718,,2002
HD 1690,b,Radial Velocity,533.00000000,1.300000,0.640000,,,,,,7.01,9.173,,,,HD 1690,HIP 1692,1.314,,2010
HD 169830,b,Radial Velocity,225.62000000,0.810000,0.310000,,,,,,36.32,5.902,,,,HD 169830,HIP 90485,0.505,,2000
HD 169830,c,Radial Velocity,2102.00000000,3.600000,0.330000,,,,,,36.32,5.902,,,,HD 169830,HIP 90485,0.505,,2003
HD 170469,b,Radial Velocity,1145.00000000,2.100000,0.110000,,,,,,64.98,8.176,,,,HD 170469,HIP 90593,0.684,,2007
HD 17092,b,Radial Velocity,359.90000000,1.290000,0.166000,,,,,,,7.732,,,,HD 17092,,1.267,,2007
HD 171028,b,Radial Velocity,538.00000000,1.290000,0.610000,,,,,,,8.292,,,,HD 171028,,0.642,,2007
HD 171238,b,Radial Velocity,1523.00000000,2.540000,0.400000,,,,,,44.05,8.652,,,,HD 171238,HIP 91085,0.758,,2009
HD 17156,b,Radial Velocity,21.21663000,0.161400,0.681900,3.19100,1.087,1.087,3.78000,86.890,75.00,8.162,6100.00,1.27,1.50,HD 17156,HIP 13192,0.617,12.184,2007
HD 173416,b,Radial Velocity,323.60000000,1.160000,0.210000,,,,,,134.95,6.037,,,,HD 173416,HIP 91852,1.057,,2009
HD 175167,b,Radial Velocity,1290.00000000,2.400000,0.540000,,,,,,67.02,8.000,,,,HD 175167,HIP 93281,0.780,,2010
HD 175541,b,Radial Velocity,297.30000000,1.030000,0.330000,,,,,,127.55,8.010,,,,HD 175541,HIP 92895,0.900,,2007
HD 176051,b,Astrometry,1016.00000000,,,1.50000,,,,,14.98,5.278,,,,HD 176051,HIP 93017A,0.555,,2010
HD 177830,b,Radial Velocity,406.60000000,1.221800,0.009000,,,,,,59.03,7.177,,,,HD 177830,HIP 93746,1.091,,1999
HD 177830,c,Radial Velocity,110.90000000,0.513700,0.300000,,,,,,59.03,7.177,,,,HD 177830,HIP 93746,1.091,,2010
HD 178911B,b,Radial Velocity,71.48700000,0.320000,0.124300,,,,,,46.73,7.792,,,,HD 178911B,HIP 94075,0.753,,2001
HD 179079,b,Radial Velocity,14.47600000,0.110000,0.115000,,,,,,63.69,7.959,,,,HD 179079,HIP 94256,0.707,,2009
HD 179949,b,Radial Velocity,3.09250000,0.045000,0.022000,,,,,,27.05,6.245,,,,HD 179949,HIP 94645,0.540,,2000
HD 180314,b,Radial Velocity,396.03000000,1.400000,0.257000,22.00000,,,,,131.75,6.608,,,,HD 180314,HIP 94576,1.019,,2010
HD 180902,b,Radial Velocity,479.00000000,1.390000,0.090000,,,,,,114.55,7.778,,,,HD 180902,HIP 94951,0.934,,2010
HD 181342,b,Radial Velocity,663.00000000,1.780000,0.177000,,,,,,115.47,7.551,,,,HD 181342,HIP 95124,1.015,,2010
HD 181433,b,Radial Velocity,9.37430000,0.080000,0.396000,,,,,,26.15,8.400,,,,HD 181433,HIP 95467,1.040,,2008
HD 181433,c,Radial Velocity,962.00000000,1.760000,0.280000,,,,,,26.15,8.400,,,,HD 181433,HIP 95467,1.040,,2008
HD 181433,d,Radial Velocity,2172.00000000,3.000000,0.480000,,,,,,26.15,8.400,,,,HD 181433,HIP 95467,1.040,,2008
HD 181720,b,Radial Velocity,956.00000000,,,,,,,,55.93,7.849,,,,HD 181720,HIP 95262,0.585,,2009
HD 183263,b,Radial Velocity,634.23000000,1.520000,0.380000,,,,,,52.83,7.861,,,,HD 183263,HIP 95740,0.651,,2004
HD 183263,c,Radial Velocity,2950.00000000,4.250000,0.253000,,,,,,52.83,7.861,,,,HD 183263,HIP 95740,0.651,,2008
HD 185269,b,Radial Velocity,6.83800000,0.077000,0.300000,,,,,,47.37,6.669,,,,HD 185269,HIP 96507,0.598,,2006
HD 187085,b,Radial Velocity,986.00000000,2.050000,0.470000,,,,,,44.98,7.214,,,,HD 187085,HIP 97546,0.567,,2006
HD 187123,b,Radial Velocity,3.09700000,0.042000,0.030000,,,,,,47.92,7.832,,,,HD 187123,HIP 97336,0.656,,1998
HD 187123,c,Radial Velocity,3810.00000000,4.890000,0.252000,,,,,,47.92,7.832,,,,HD 187123,HIP 97336,0.656,,1998
HD 18742,b,Radial Velocity,772.00000000,1.920000,0.230000,,,,,,127.88,7.814,,,,HD 18742,HIP 13993,0.924,,2011
HD 188015,b,Radial Velocity,456.46000000,1.190000,0.150000,,,,,,52.63,8.234,,,,HD 188015,HIP 97769,0.721,,2004
HD 189567,b,Radial Velocity,14.27500000,0.109900,0.230000,,,,,,17.72,6.070,,,,HD 189567,HIP 98959,0.640,,2011
HD 189733,b,Radial Velocity,2.21857578,0.031420,0.000000,1.15000,1.151,1.151,1.00400,85.780,19.70,7.676,5040.00,0.84,0.75,HD 189733,HIP 98505,0.931,12.902,2005
HD 190228,b,Radial Velocity,1127.00000000,2.310000,0.430000,,,,,,62.11,7.296,,,,HD 190228,HIP 98714,0.799,,2002
HD 190360,b,Radial Velocity,2891.00000000,3.920000,0.360000,,,,,,15.89,5.700,,,,HD 190360,HIP 98767,0.720,,2003
HD 190360,c,Radial Velocity,17.10000000,0.128000,0.010000,,,,,,15.89,5.700,,,,HD 190360,HIP 98767,0.720,,2005
HD 190647,b,Radial Velocity,1038.10000000,2.070000,0.180000,,,,,,54.23,7.775,,,,HD 190647,HIP 99115,0.764,,2007
HD 190984,b,Radial Velocity,4885.00000000,,,,,,,,189.39,8.761,,,,HD 190984,HIP 99496,0.554,,2009
HD 192263,b,Radial Velocity,24.34800000,0.150000,0.000000,,,,,,19.89,7.768,,,,HD 192263,HIP 99711,0.957,,1999
HD 192310,b,Radial Velocity,74.72000000,0.320000,0.130000,,,,,,8.82,5.730,,,,HD 192310,HIP 99825,0.880,,2011
HD 192310,c,Radial Velocity,525.80000000,1.180000,0.320000,,,,,,8.82,5.730,,,,HD 192310,HIP 99825,0.880,,2011
HD 192699,b,Radial Velocity,351.50000000,1.160000,0.149000,,,,,,67.39,6.446,,,,HD 192699,HIP 99894,0.868,,2007
HD 195019,b,Radial Velocity,18.20163000,0.138800,0.014000,,,,,,37.35,6.892,,,,HD 195019,HIP 100970,0.664,,1998
HD 196050,b,Radial Velocity,1289.00000000,2.500000,0.280000,,,,,,46.93,7.493,,,,HD 196050,HIP 101806,0.669,,2002
HD 196067,b,Radial Velocity,4100.00000000,,0.630000,7.10158,,,,,43.57,6.030,,,,HD 196067,HIP 102125,0.620,,2011
HD 196885,b,Radial Velocity,1333.00000000,2.370000,0.480000,,,,,,32.99,6.386,,,,HD 196885,HIP 101966,0.538,,2007
HD 197037,b,Radial Velocity,1035.70000000,2.070000,0.220000,,,,,,32.83,6.813,,,,HD 197037,HIP 101948,0.499,,2012
HD 19994,b,Radial Velocity,535.70000000,1.420000,0.300000,,,,,,22.38,5.060,,,,HD 19994,HIP 14954,0.570,,2003
HD 20003,b,Radial Velocity,11.84900000,0.097400,0.400000,,,,,,43.08,8.367,,,,HD 20003,HIP 14530,0.774,,2011
HD 20003,c,Radial Velocity,33.82300000,0.196100,0.160000,,,,,,43.08,8.367,,,,HD 20003,HIP 14530,0.774,,2011
HD 200964,b,Radial Velocity,630.60000000,1.710000,0.111000,,,,,,68.35,6.487,,,,HD 200964,HIP 104202,0.891,,2010
HD 200964,c,Radial Velocity,829.00000000,2.030000,0.113000,,,,,,68.35,6.487,,,,HD 200964,HIP 104202,0.891,,2010
HD 202206,b,Radial Velocity,255.87000000,0.830000,0.435000,,,,,,46.34,8.071,,,,HD 202206,HIP 104903,0.720,,2002
HD 202206,c,Radial Velocity,1383.40000000,2.550000,0.267000,,,,,,46.34,8.071,,,,HD 202206,HIP 104903,0.720,,2004
HD 20367,b,Radial Velocity,500.00000000,1.250000,0.230000,,,,,,27.13,6.399,,,,HD 20367,HIP 15323,0.563,,2002
HD 2039,b,Radial Velocity,1183.00000000,2.200000,0.670000,,,,,,89.85,8.987,,,,HD 2039,HIP 1931,0.662,,2002
HD 204313,b,Radial Velocity,1931.00000000,3.082000,0.131000,,,,,,47.30,8.020,,,,HD 204313,HIP 106006,0.677,,2009
HD 204313,c,Radial Velocity,34.87300000,0.210300,0.170000,,,,,,47.30,8.020,,,,HD 204313,HIP 106006,0.677,,2011
HD 204941,b,Radial Velocity,1733.00000000,2.560000,0.370000,,,,,,26.95,8.420,,,,HD 204941,HIP 106353,0.919,,2011
HD 205739,b,Radial Velocity,279.80000000,0.896000,0.270000,,,,,,90.33,8.544,,,,HD 205739,HIP 106824,0.546,,2008
HD 206610,b,Radial Velocity,610.00000000,1.680000,0.229000,,,,,,170.07,8.346,,,,HD 206610,HIP 107251,1.032,,2010
HD 20781,b,Radial Velocity,29.15000000,0.169000,0.110000,,,,,,35.89,8.443,,,,HD 20781,HIP 15526,0.820,,2011
HD 20781,c,Radial Velocity,85.13100000,0.345600,0.280000,,,,,,35.89,8.443,,,,HD 20781,HIP 15526,0.820,,2011
HD 20782,b,Radial Velocity,591.90000000,1.381000,0.970000,,,,,,36.02,7.367,,,,HD 20782,HIP 15527,0.633,,2006
HD 207832,b,Radial Velocity,161.97000000,0.570000,0.130000,0.56000,,,,,54.40,8.786,5710.00,0.94,0.90,HD 207832,HIP 107985,0.694,,2012
HD 207832,c,Radial Velocity,1155.70000000,2.112000,0.270000,0.73000,,,,,54.40,8.786,5710.00,0.94,0.90,HD 207832,HIP 107985,0.694,,2012
HD 20794,b,Radial Velocity,18.31500000,0.120700,0.000000,,,,,,6.06,4.270,,,,HD 20794,HIP 15510,0.710,,2011
HD 20794,c,Radial Velocity,40.11400000,0.203600,0.000000,,,,,,6.06,4.270,,,,HD 20794,HIP 15510,0.710,,2011
HD 20794,d,Radial Velocity,90.30900000,0.349900,0.000000,,,,,,6.06,4.270,,,,HD 20794,HIP 15510,0.710,,2011
HD 208487,b,Radial Velocity,123.00000000,0.490000,0.320000,,,,,,43.99,7.471,,,,HD 208487,HIP 108375,0.552,,2004
HD 20868,b,Radial Velocity,380.85000000,0.947000,0.750000,,,,,,44.50,9.928,,,,HD 20868,HIP 15578,1.140,,2008
HD 209458,b,Radial Velocity,3.52474859,0.047470,0.000000,0.71400,1.380,1.380,0.36200,86.590,47.40,7.632,6065.00,1.15,1.16,HD 209458,HIP 108859,0.579,15.468,1999
HD 210277,b,Radial Velocity,442.10000000,1.100000,0.472000,,,,,,21.29,6.530,,,,HD 210277,HIP 109378,0.750,,1998
HD 210702,b,Radial Velocity,354.80000000,1.200000,0.094000,1.90000,,,,,55.90,5.950,4967.00,1.68,5.10,HD 210702,HIP 109577,0.950,,2007
HD 212301,b,Radial Velocity,2.44571500,0.036000,0.000000,,,,,,52.72,7.764,,,,HD 212301,HIP 110852,0.550,,2005
HD 212771,b,Radial Velocity,373.30000000,1.220000,0.111000,,,,,,121.80,7.596,,,,HD 212771,HIP 110813,0.883,,2010
HD 213240,b,Radial Velocity,951.00000000,2.030000,0.450000,,,,,,40.75,6.814,,,,HD 213240,HIP 111143,0.611,,2001
HD 215152,b,Radial Velocity,7.28250000,0.065200,0.340000,,,,,,21.52,8.130,,,,HD 215152,HIP 112190,0.990,,2011
HD 215152,c,Radial Velocity,10.86600000,0.085200,0.380000,,,,,,21.52,8.130,,,,HD 215152,HIP 112190,0.990,,2011
HD 215456,b,Radial Velocity,191.99000000,0.652000,0.150000,,,,,,38.64,6.629,,,,HD 215456,HIP 112414,0.636,,2011
HD 215456,c,Radial Velocity,2277.00000000,3.394000,0.190000,,,,,,38.64,6.629,,,,HD 215456,HIP 112414,0.636,,2011
HD 215497,b,Radial Velocity,3.93000000,,,,,,,,43.53,8.950,,,,HD 215497,HIP 112441,0.968,,2009
HD 215497,c,Radial Velocity,567.00000000,,,,,,,,43.53,8.950,,,,HD 215497,HIP 112441,0.968,,2009
HD 216435,b,Radial Velocity,1311.00000000,2.560000,0.070000,,,,,,33.29,6.040,,,,HD 216435,HIP 113044,0.620,,2002
HD 216437,b,Radial Velocity,1294.00000000,2.700000,0.340000,,,,,,26.52,6.050,,,,HD 216437,HIP 113137,0.660,,2002
HD 216770,b,Radial Velocity,118.45000000,0.460000,0.370000,,,,,,37.89,8.094,,,,HD 216770,HIP 113238,0.847,,2003
HD 21693,b,Radial Velocity,22.65600000,0.148400,0.260000,,,,,,32.31,7.940,,,,HD 21693,HIP 16085,0.775,,2011
HD 21693,c,Radial Velocity,53.88100000,0.264400,0.240000,,,,,,32.31,7.940,,,,HD 21693,HIP 16085,0.775,,2011
HD 217107,b,Radial Velocity,7.12689000,0.073000,0.132000,,,,,,19.72,6.160,,,,HD 217107,HIP 113421,0.740,,1998
HD 217107,c,Radial Velocity,4210.00000000,5.270000,0.517000,,,,,,19.72,6.160,,,,HD 217107,HIP 113421,0.740,,1998
HD 217786,b,Radial Velocity,1319.00000000,2.380000,0.400000,,,,,,54.92,7.779,,,,HD 217786,HIP 113834,0.582,,2010
HD 218566,b,Radial Velocity,225.70000000,0.687300,0.300000,,,,,,29.94,8.628,,,,HD 218566,HIP 114322,1.013,,2010
HD 219415,b,Radial Velocity,2093.30000000,3.200000,0.400000,1.00000,,,,,,,4820.00,1.00,2.90,HD 219415,,,,2012
